operation,records,value_bytes,logical_operations,concurrency,postgres_runs,dynamodb_runs,postgres_median_ms,dynamodb_median_ms,postgres_ops_per_sec,dynamodb_ops_per_sec,dynamodb_to_postgres_latency
build,10000000,27,10000000,32,1,1,8724.540709,8689.13,1146192.1416315096,1150863.2049468704,0.9959412523614598
batch,10000000,27,10000,32,3,3,2484.214583,6478.180958,4025.417155358515,1543.6432024410888,2.607738076385006
query,10000000,27,10000,32,3,3,621.446375,1013.358375,16091.493010961725,9868.177188548918,1.6306449208912033
concurrent_query,10000000,27,10000,32,3,3,2030.184792,2153.657542,4925.659988886371,4643.263752468962,1.060818478439277
diff,10000000,27,10000,32,3,3,1800.253084,2691.32175,5554.77454191102,3715.646410541586,1.4949685540991413
merge,10000000,27,10000,32,3,3,4398.450208,3471.33,2273.5280671841583,2880.740235010788,0.7892166185458385
