suite,target,records,api,pattern,pairs,samples_per_revision_pair,baseline_median_ns,candidate_median_ns,median_latency_change_pct,baseline_throughput,candidate_throughput,throughput_change_pct,baseline_p50_ns,candidate_p50_ns,p50_change_pct,baseline_p95_ns,candidate_p95_ns,p95_change_pct,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns
local-adapters,file-sync,10000,batch,append,20,3,9072375.0,9035583.5,-0.4055332809765911,11022.475933881204,11067.369413129552,0.407290335834201,9072375.0,9035583.5,-0.4055332809765911,9072375.0,9035583.5,-0.4055332809765911,-0.20263447559507533,-18353.5,0.2037363531044117,-0.20263447559507533,-18353.5,-0.20263447559507533,-18353.5
local-adapters,file-sync,10000,batch,clustered,20,3,11990833.5,11942895.5,-0.3997887219433078,8339.708522331399,8373.179560030272,0.401345414042316,11990833.5,11942895.5,-0.3997887219433078,11990833.5,11942895.5,-0.3997887219433078,-1.0598929847610123,-123292.0,1.0875570669672103,-1.0598929847610123,-123292.0,-1.0598929847610123,-123292.0
local-adapters,file-sync,10000,batch,random,20,3,148976437.5,152643312.5,2.461379169440805,671.2645136990402,655.1272970881073,-2.404002637054041,148976437.5,152643312.5,2.461379169440805,148976437.5,152643312.5,2.461379169440805,-0.4809848386087677,-629292.0,0.4969589654724193,-0.4809848386087677,-629292.0,-0.4809848386087677,-629292.0
local-adapters,file-sync,10000,build,append,5,3,273789375.0,252291958.0,-7.851808347201201,36524.426851845514,39636.618143809406,8.520849087072365,273789375.0,252291958.0,-7.851808347201201,273789375.0,252291958.0,-7.851808347201201,-3.062737091419071,-7474250.0,3.159504404727695,-3.062737091419071,-7474250.0,-3.062737091419071,-7474250.0
local-adapters,file-sync,10000,build,clustered,5,3,241150959.0,240237458.0,-0.37880877761717713,41467.80108803134,41625.48206782974,0.38024919494444365,241150959.0,240237458.0,-0.37880877761717713,241150959.0,240237458.0,-0.37880877761717713,-0.31150922268094006,-704668.0,0.31248263490794626,-0.31150922268094006,-704668.0,-0.31150922268094006,-704668.0
local-adapters,file-sync,10000,build,random,5,3,245114500.0,242367375.0,-1.1207517303137922,40797.26005601464,41259.678618048325,1.1334549462360608,245114500.0,242367375.0,-1.1207517303137922,245114500.0,242367375.0,-1.1207517303137922,1.422320643223153,3356333.0,-1.4023743828801851,1.422320643223153,3356333.0,1.422320643223153,3356333.0
local-adapters,file-sync,10000,diff,append,5,3,16583.0,16166.0,-2.514623409515769,6030271.965265634,6185822.095756526,2.5794878139304713,16583.0,16166.0,-2.514623409515769,16583.0,16166.0,-2.514623409515769,-1.0826322311354595,-166.0,1.094481439968352,-1.0826322311354595,-166.0,-1.0826322311354595,-166.0
local-adapters,file-sync,10000,diff,clustered,5,3,23125.0,20209.0,-12.609729729729729,4324324.324324325,4948290.365678658,14.429214706318948,23125.0,20209.0,-12.609729729729729,23125.0,20209.0,-12.609729729729729,-14.235675675675678,-3208.0,16.598598295769666,-14.235675675675678,-3208.0,-14.235675675675678,-3208.0
local-adapters,file-sync,10000,diff,random,5,3,2285042.0,2139042.0,-6.389379276179606,43762.871754654836,46749.900188963096,6.8254854275886165,2285042.0,2139042.0,-6.389379276179606,2285042.0,2139042.0,-6.389379276179606,1.6071571075162168,33834.0,-1.5817361229933764,1.6071571075162168,33834.0,1.6071571075162168,33834.0
local-adapters,file-sync,10000,merge,append,5,3,9001375.0,9039041.0,0.4184471816805766,22218.82767910458,22126.241047031428,-0.4167034976387303,9001375.0,9039041.0,0.4184471816805766,9001375.0,9039041.0,0.4184471816805766,-0.028243528098866124,-2542.0,0.028251507321269458,-0.028243528098866124,-2542.0,-0.028243528098866124,-2542.0
local-adapters,file-sync,10000,merge,clustered,5,3,9058459.0,7533792.0,-16.831416910977907,22078.810534992765,26547.056250026548,20.2377103057796,9058459.0,7533792.0,-16.831416910977907,9058459.0,7533792.0,-16.831416910977907,-0.11730472037241656,-10791.0,0.11744248595215313,-0.11730472037241656,-10791.0,-0.11730472037241656,-10791.0
