suite,revision_role,pair,revision,adapter,records,changes,api,pattern,run,total_ns,operations_per_sec,p50_ns,p95_ns,root,node_count,byte_count,value_valid,count_valid,root_valid,reopen_valid
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,put,clustered,1,13912584,7187.73737502681,104750,151125,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,batch,append,1,192833,518583.4374821737,192833,192833,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,batch,random,1,2574917,38836.20326402754,2574917,2574917,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,batch,clustered,1,209834,476567.1912082885,209834,209834,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,build,append,1,4206334,2377367.08497233,4206334,4206334,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,build,random,1,4688250,2132992.054604597,4688250,4688250,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,build,clustered,1,4502667,2220905.9652867955,4502667,4502667,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,random,1,962334,103914.0256917037,962334,962334,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,merge,append,1,337500,592592.5925925926,337500,337500,9e2f9091b7b3cbeec9f3b35ddd24f96548e2e901760ed932bb9cf76e34d9107e,87,302284,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,merge,random,1,3348792,59723.02848310674,3348792,3348792,9655f177ac9fe3b002a2a7a905e1a0b3db49dc47c5a3ada1895b6154b8b60204,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,merge,clustered,1,198708,1006502.0029389858,198708,198708,df7b52a53ca689bcc38796a58ffb6a8d8990151671e3bbaf8ac3c75730bcfb30,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,reopen,append,1,354625,2819.8801550934086,354625,354625,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,reopen,random,1,348333,2870.8161443216695,348333,348333,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,reopen,clustered,1,418209,2391.1489231460823,418209,418209,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,put,append,1,5991375,16690.659489683087,58458,70084,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,put,random,1,3551333,28158.440788289918,32958,62792,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,put,clustered,1,3490375,28650.216667263547,34459,36583,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,batch,append,1,128709,776946.4450815406,128709,128709,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,batch,random,1,1646833,60722.61121801664,1646833,1646833,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,batch,clustered,1,116167,860829.6676336654,116167,116167,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,build,append,1,3215750,3109694.4725180753,3215750,3215750,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,build,random,1,4205417,2377885.4748530285,4205417,4205417,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,build,clustered,1,3901500,2563116.749967961,3901500,3901500,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,diff,append,1,10458,9562057.754828839,10458,10458,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,diff,random,1,717916,139292.0620239694,717916,717916,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,diff,clustered,1,13750,7272727.2727272725,13750,13750,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,merge,append,1,200459,997710.2549648556,200459,200459,9e2f9091b7b3cbeec9f3b35ddd24f96548e2e901760ed932bb9cf76e34d9107e,87,302284,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,merge,random,1,2055334,97307.78549860997,2055334,2055334,9655f177ac9fe3b002a2a7a905e1a0b3db49dc47c5a3ada1895b6154b8b60204,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,merge,clustered,1,99209,2015946.1339193017,99209,99209,df7b52a53ca689bcc38796a58ffb6a8d8990151671e3bbaf8ac3c75730bcfb30,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,reopen,append,1,3039875,328.96089477363375,3039875,3039875,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,reopen,random,1,3269500,305.85716470408323,3269500,3269500,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,rocksdb-sync,10000,100,reopen,clustered,1,2882167,346.961158045318,2882167,2882167,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,put,append,1,10262126875,9.744568666717054,103010459,103303083,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,put,random,1,10255611916,9.750758981430241,103057042,103248167,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,put,clustered,1,10258947833,9.747588312938836,103041125,103280417,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,batch,append,1,100726833,992.7841174158627,100726833,100726833,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,batch,random,1,102799459,972.7677652467023,102799459,102799459,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,batch,clustered,1,101519291,985.0344601007902,101519291,101519291,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,build,append,1,101101708,98910.29734136639,101101708,101101708,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,build,random,1,99709625,100291.2206319099,99709625,99709625,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,build,clustered,1,101424042,98595.95222994563,101424042,101424042,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,diff,append,1,13250,7547169.811320755,13250,13250,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,merge,append,1,102959500,1942.5113758322448,102959500,102959500,9e2f9091b7b3cbeec9f3b35ddd24f96548e2e901760ed932bb9cf76e34d9107e,87,302284,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,merge,random,1,103566291,1931.1302748111352,103566291,103566291,9655f177ac9fe3b002a2a7a905e1a0b3db49dc47c5a3ada1895b6154b8b60204,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,merge,clustered,1,102415083,1952.8373569740697,102415083,102415083,df7b52a53ca689bcc38796a58ffb6a8d8990151671e3bbaf8ac3c75730bcfb30,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,slatedb-sync,10000,100,reopen,append,1,605833,1650.6198902998021,605833,605833,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,put,append,1,112073333,892.2729191965765,1082583,1405458,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,put,random,1,116206500,860.5370611798824,1157625,1559125,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,put,clustered,1,110587750,904.2592873080428,982166,1335542,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,batch,append,1,1846750,54149.18099363747,1846750,1846750,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,batch,random,1,7727208,12941.284872880347,7727208,7727208,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,batch,clustered,1,3105667,32199.202296962296,3105667,3105667,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,build,append,1,4913459,2035226.1003907837,4913459,4913459,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,build,random,1,5361959,1864990.0157759504,5361959,5361959,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,build,clustered,1,5495500,1819670.6396142298,5495500,5495500,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,diff,clustered,1,17459,5727704.908643107,17459,17459,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,merge,append,1,2135708,93645.76056277356,2135708,2135708,9e2f9091b7b3cbeec9f3b35ddd24f96548e2e901760ed932bb9cf76e34d9107e,87,302284,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,merge,random,1,9236292,21653.711251225057,9236292,9236292,9655f177ac9fe3b002a2a7a905e1a0b3db49dc47c5a3ada1895b6154b8b60204,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,merge,clustered,1,1225209,163237.45581366116,1225209,1225209,df7b52a53ca689bcc38796a58ffb6a8d8990151671e3bbaf8ac3c75730bcfb30,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,reopen,clustered,1,372584,2683.958516737165,372584,372584,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,put,append,2,4787667,20886.999868620773,48792,55333,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,put,random,2,2964042,33737.713568161314,26250,56292,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,put,clustered,2,2704708,36972.5678335702,26709,27666,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,batch,append,2,102417,976400.4022769657,102417,102417,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,batch,random,2,1443875,69258.07289412172,1443875,1443875,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,batch,clustered,2,107666,928798.3207326361,107666,107666,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,build,append,2,3291250,3038359.285985568,3291250,3291250,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,build,random,2,3725334,2684323.070092507,3725334,3725334,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,build,clustered,2,3785083,2641949.9915853892,3785083,3785083,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,file-sync,10000,100,put,append,2,800610250,124.90472111742262,7994833,9941583,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,file-sync,10000,100,put,random,2,794024083,125.94076444404268,8015333,9201250,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,file-sync,10000,100,put,clustered,2,768024625,130.20415849296498,7822000,9048750,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,file-sync,10000,100,build,append,2,231117458,43268.042520613046,231117458,231117458,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
