schema,config_hash,revision,dirty,timestamp_ms,records,value_bytes,clients,pool_size,operation,tenant_class,duration_ns,sample_count,attempted,completed,cell_attempted,cell_completed,attempted_ops_per_sec,successful_ops_per_sec,p50_ns,p95_ns,p99_ns,p999_ns,max_ns,cas_attempts,conflicts,retries,exhausted_retries,semantic_conflicts,timeouts,sql_errors,validation_errors,worker_panics,prolly_node_cache_hits,prolly_node_cache_misses,prolly_node_cache_evictions,prolly_nodes_read,prolly_bytes_read,prolly_nodes_written,prolly_bytes_written,prolly_store_get_calls,prolly_store_batch_get_calls,prolly_store_batch_get_keys,prolly_store_put_calls,prolly_store_batch_put_calls,prolly_store_batch_put_nodes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068303,1000,64,4,2,point_read,independent,2015493792,208,208,208,610,602,103.20051633282331,103.20051633282331,6422527,8191999,8781823,9658367,9658367,0,0,0,0,0,0,0,0,0,0,416,0,416,3650972,0,0,416,0,0,0,0,0,3496,306.90245899999996,73061,0,1576,1576,0,0,13052078,3237,15,13761559,26672151,286720,13197312,40960,114688,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068307,1000,64,4,2,point_read,hot,2015493792,67,67,67,610,602,33.242474011053666,33.242474011053666,6184959,8294399,9486335,9486335,9486335,0,0,0,0,0,0,0,0,0,0,134,0,134,1177681,0,0,134,0,0,0,0,0,3496,306.90245899999996,73061,0,1576,1576,0,0,13052078,3237,15,13761559,26672151,286720,13197312,40960,114688,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068310,1000,64,4,2,multi_read,independent,2015493792,71,71,71,610,602,35.22709932514642,35.22709932514642,6844415,8626175,10428415,10428415,10428415,0,0,0,0,0,0,0,0,0,0,339,0,339,3904037,0,0,0,142,339,0,0,0,3496,306.90245899999996,73061,0,1576,1576,0,0,13052078,3237,15,13761559,26672151,286720,13197312,40960,114688,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068313,1000,64,4,2,multi_read,hot,2015493792,21,21,21,610,602,10.41928289898697,10.41928289898697,6778879,8286207,9003007,9003007,9003007,0,0,0,0,0,0,0,0,0,0,108,0,108,1202293,0,0,0,42,108,0,0,0,3496,306.90245899999996,73061,0,1576,1576,0,0,13052078,3237,15,13761559,26672151,286720,13197312,40960,114688,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068316,1000,64,4,2,commit,independent,2015493792,113,113,113,610,602,56.06566512312036,56.06566512312036,22462463,51773439,57671679,60424191,60424191,161,48,48,0,0,0,0,0,0,97,645,0,645,6459129,593,6825588,0,645,645,0,161,593,3496,306.90245899999996,73061,0,1576,1576,0,0,13052078,3237,15,13761559,26672151,286720,13197312,40960,114688,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068318,1000,64,4,2,commit,hot,2015493792,38,38,38,610,602,18.853940483881182,18.853940483881182,31064063,61145087,61177855,61177855,61177855,63,25,25,0,0,0,0,0,0,48,249,0,249,2480707,236,2665051,0,249,249,0,63,236,3496,306.90245899999996,73061,0,1576,1576,0,0,13052078,3237,15,13761559,26672151,286720,13197312,40960,114688,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068321,1000,64,4,2,diff,independent,2015493792,56,56,56,610,602,27.784754397298585,27.784754397298585,5275647,6557695,7430143,7430143,7430143,0,0,0,0,0,0,0,0,0,514,628,0,628,6519296,0,0,0,112,628,0,0,0,3496,306.90245899999996,73061,0,1576,1576,0,0,13052078,3237,15,13761559,26672151,286720,13197312,40960,114688,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068323,1000,64,4,2,diff,hot,2015493792,5,5,5,610,602,2.4807816426159452,2.4807816426159452,4931583,6909951,6909951,6909951,6909951,0,0,0,0,0,0,0,0,0,34,46,0,46,474552,0,0,0,10,46,0,0,0,3496,306.90245899999996,73061,0,1576,1576,0,0,13052078,3237,15,13761559,26672151,286720,13197312,40960,114688,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068325,1000,64,4,2,merge,independent,2015493792,9,9,6,610,602,4.465406956708701,2.976937971139134,29884415,35422207,35422207,35422207,35422207,9,3,0,3,0,0,0,0,0,65,52,0,52,513867,72,700329,0,52,52,0,27,72,3496,306.90245899999996,73061,0,1576,1576,0,0,13052078,3237,15,13761559,26672151,286720,13197312,40960,114688,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068327,1000,64,4,2,merge,hot,2015493792,22,22,17,610,602,10.91543922751016,8.434657584894213,30294015,35192831,35454975,35454975,35454975,22,5,0,5,0,0,0,0,0,158,127,0,127,1253937,177,1687149,0,127,127,0,66,177,3496,306.90245899999996,73061,0,1576,1576,0,0,13052078,3237,15,13761559,26672151,286720,13197312,40960,114688,true,
