suite,revision_role,pair,revision,adapter,records,changes,api,pattern,run,total_ns,operations_per_sec,p50_ns,p95_ns,root,node_count,byte_count,value_valid,count_valid,root_valid,reopen_valid
local-adapters,baseline,2,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,append,2,7625,13114754.098360656,7625,7625,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,2,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,clustered,2,9834,10168802.11511084,9834,9834,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,2,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,append,3,7542,13259082.471492972,7542,7542,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,2,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,clustered,3,9750,10256410.256410256,9750,9750,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,append,1,14791,6760868.0954634575,14791,14791,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,clustered,1,10417,9599692.809830084,10417,10417,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,append,2,7250,13793103.448275862,7250,7250,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,clustered,2,10500,9523809.523809524,10500,10500,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,append,3,7167,13952839.402818473,7167,7167,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,clustered,3,9500,10526315.789473685,9500,9500,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,append,1,14584,6856829.402084476,14584,14584,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,clustered,1,22708,4403734.366742998,22708,22708,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,append,2,8292,12059816.6907863,8292,8292,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,clustered,2,10292,9716284.49280995,10292,10292,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,append,3,8625,11594202.898550725,8625,8625,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,clustered,3,10417,9599692.809830084,10417,10417,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,candidate,4,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,append,1,13250,7547169.811320755,13250,13250,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,4,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,clustered,1,11875,8421052.631578946,11875,11875,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,candidate,4,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,append,2,7583,13187392.852433074,7583,7583,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,4,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,clustered,2,10750,9302325.581395349,10750,10750,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,candidate,4,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,append,3,7333,13636983.499249967,7333,7333,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,4,81357948363fdb51dbc201ae5ba1a7377bb297e0,sqlite-sync,10000,100,diff,clustered,3,9500,10526315.789473685,9500,9500,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,4,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,append,1,11834,8450228.156160217,11834,11834,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,4,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,clustered,1,11375,8791208.79120879,11375,11375,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,4,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,append,2,8875,11267605.633802816,8875,8875,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,4,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,clustered,2,15708,6366182.836771072,15708,15708,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,4,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,append,3,7875,12698412.698412698,7875,7875,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,4,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,clustered,3,12541,7973845.785822501,12541,12541,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,5,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,append,1,12125,8247422.680412371,12125,12125,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,5,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,clustered,1,10125,9876543.209876543,10125,10125,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,5,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sqlite-sync,10000,100,diff,append,2,7959,12564392.511622064,7959,7959,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
