schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,50000,1,diff,append,500,500,519292,962849.4180538118,,,,,2375680,2420736,50500,50500,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,50000,1,diff,random,500,500,25486708,19618.06915196737,,,,,2375680,4534272,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,50000,1,diff,clustered,500,500,704166,710059.8438436391,,,,,2375680,2424832,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,50000,1,merge,append,500,1000,2576000,388198.7577639752,,,,,2375680,2490368,51000,51000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,50000,1,merge,random,500,1000,104012459,9614.232848778242,,,,,2375680,8519680,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,50000,1,merge,clustered,500,1000,1708250,585394.4094833895,,,,,2375680,2506752,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,put,append,500,500,775778667,644.5137270061075,1386541,2484708,3490833,5219625,2290728,9421768,50500,50500,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,put,random,500,500,1285177833,389.0512170077244,2134500,4566334,8923583,31176791,2290728,14863872,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,put,clustered,500,500,1102024375,453.7104726018424,1932667,3615625,5413833,8950459,2290728,15031624,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,batch,append,500,500,3240459,154299.12861110107,,,,,2290728,2369008,50500,50500,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,batch,random,500,500,68435542,7306.145102204348,,,,,2290728,4272208,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,batch,clustered,500,500,8611625,58061.05119533189,,,,,2290728,2360768,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,diff,append,500,500,903541,553378.3193015037,,,,,2290728,2369008,50500,50500,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,diff,random,500,500,40383583,12381.268893352033,,,,,2290728,4272208,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,diff,clustered,500,500,1539792,324719.18285067077,,,,,2290728,2360768,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,merge,append,500,1000,7253542,137863.68094373756,,,,,2290728,2488488,51000,51000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,merge,random,500,1000,121611250,8222.92345486129,,,,,2290728,8157368,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,merge,clustered,500,1000,4131041,242069.73496510927,,,,,2290728,2467888,50000,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,put,append,1000,1000,378082958,2644.922176047935,253125,467500,7302834,9474458,4747264,29917072,101000,101000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,put,random,1000,1000,474534833,2107.3268608713493,296625,708584,7678333,14899500,4747264,34901976,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,put,clustered,1000,1000,505648750,1977.6574153500824,291375,955000,7239084,16101375,4747264,35036904,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,batch,append,1000,1000,8447334,118380.54467835651,,,,,4747264,4903664,101000,101000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,batch,random,1000,1000,98662791,10135.533262990706,,,,,4747264,13637752,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,batch,clustered,1000,1000,11478542,87119.07836378523,,,,,4747264,4928384,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,diff,append,1000,1000,1738083,575346.5168234198,,,,,4747264,4804608,101000,101000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,diff,random,1000,1000,48812250,20486.660623101783,,,,,4747264,9019392,100000,100000,true,
