implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,point_read,100000,68907375,689.074,1451223.472,e8f1b4b849a1800c,5750000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,range_scan,5750000,226284291,39.354,25410513.362,e8f1b4b849a1800c,5750000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,write,5000000,33874226416,6774.845,147604.847,d1647945eb322bb6,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,point_read,100000,166095583,1660.956,602062.970,d1647945eb322bb6,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,range_scan,5000000,189862750,37.973,26334812.911,d1647945eb322bb6,5000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,append,write,5000000,2812859750,562.572,1777550.409,d1647945eb322bb6,5000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,append,point_read,100000,104196542,1041.965,959724.748,d1647945eb322bb6,5000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,append,range_scan,5000000,181556083,36.311,27539699.675,d1647945eb322bb6,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,write,5000000,24474741042,4894.948,204292.253,381618c8cd44f2be,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,point_read,100000,162243334,1622.433,616358.143,381618c8cd44f2be,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,range_scan,5000000,193666833,38.733,25817533.764,381618c8cd44f2be,5000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,random,write,5000000,5217082916,1043.417,958389.982,381618c8cd44f2be,5000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,random,point_read,100000,104735625,1047.356,954784.965,381618c8cd44f2be,5000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,random,range_scan,5000000,205264667,41.053,24358795.272,381618c8cd44f2be,5000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,clustered,write,5000000,3402366625,680.473,1469565.321,8ef05bfe0e072492,5000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,clustered,point_read,100000,100716167,1007.162,992889.255,8ef05bfe0e072492,5000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,clustered,range_scan,5000000,191201209,38.240,26150462.260,8ef05bfe0e072492,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,write,5000000,18620836333,3724.167,268516.403,8ef05bfe0e072492,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,point_read,100000,134151375,1341.514,745426.575,8ef05bfe0e072492,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,range_scan,5000000,191493833,38.299,26110501.428,8ef05bfe0e072492,5000000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,append,write,1500000,858937208,572.625,1746344.187,d63ec1ddc44a3175,6500000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,append,point_read,100000,35138959,351.390,2845844.124,d63ec1ddc44a3175,6500000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,append,range_scan,6500000,236639667,36.406,27467922.358,d63ec1ddc44a3175,6500000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,write,1500000,4344012250,2896.008,345302.894,d63ec1ddc44a3175,6500000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,point_read,100000,66823000,668.230,1496490.729,d63ec1ddc44a3175,6500000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,range_scan,6500000,251019791,38.618,25894372.607,d63ec1ddc44a3175,6500000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,random,write,1500000,4157069000,2771.379,360831.153,cf7592b3374c733e,5750000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,random,point_read,100000,115297541,1152.975,867321.186,cf7592b3374c733e,5750000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,random,range_scan,5750000,223040708,38.790,25780047.291,cf7592b3374c733e,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,write,1500000,6039734916,4026.490,248355.271,cf7592b3374c733e,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,point_read,100000,203771959,2037.720,490744.656,cf7592b3374c733e,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,range_scan,5750000,227292208,39.529,25297831.591,cf7592b3374c733e,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,write,1500000,3556350959,2370.901,421780.645,e8f1b4b849a1800c,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,point_read,100000,66515959,665.160,1503398.605,e8f1b4b849a1800c,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,range_scan,5750000,222864084,38.759,25800478.466,e8f1b4b849a1800c,5750000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,clustered,write,1500000,1213841041,809.227,1235746.650,e8f1b4b849a1800c,5750000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,clustered,point_read,100000,30748042,307.480,3252239.606,e8f1b4b849a1800c,5750000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,clustered,range_scan,5750000,224583000,39.058,25603006.461,e8f1b4b849a1800c,5750000,true,2
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,append,write,5000000,2771556833,554.311,1804040.220,d1647945eb322bb6,5000000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,append,point_read,100000,104828666,1048.287,953937.542,d1647945eb322bb6,5000000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,append,range_scan,5000000,190539000,38.108,26241346.916,d1647945eb322bb6,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,write,5000000,31659535500,6331.907,157930.302,d1647945eb322bb6,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,point_read,100000,164766250,1647.662,606920.410,d1647945eb322bb6,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,range_scan,5000000,190113750,38.023,26300044.053,d1647945eb322bb6,5000000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,random,write,5000000,5210669084,1042.134,959569.667,381618c8cd44f2be,5000000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,random,point_read,100000,102653750,1026.537,974148.533,381618c8cd44f2be,5000000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,random,range_scan,5000000,187507916,37.502,26665540.883,381618c8cd44f2be,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,write,5000000,24394360583,4878.872,204965.405,381618c8cd44f2be,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,point_read,100000,167008584,1670.086,598771.618,381618c8cd44f2be,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,range_scan,5000000,191482458,38.296,26112052.520,381618c8cd44f2be,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,write,5000000,18577483125,3715.497,269143.025,8ef05bfe0e072492,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,point_read,100000,163659458,1636.595,611024.876,8ef05bfe0e072492,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,range_scan,5000000,190382500,38.077,26262918.073,8ef05bfe0e072492,5000000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,clustered,write,5000000,3382714709,676.543,1478102.775,8ef05bfe0e072492,5000000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,clustered,point_read,100000,99567833,995.678,1004340.428,8ef05bfe0e072492,5000000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,clustered,range_scan,5000000,190211292,38.042,26286557.162,8ef05bfe0e072492,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,write,1500000,4553816500,3035.878,329394.037,d63ec1ddc44a3175,6500000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,point_read,100000,66491834,664.918,1503944.078,d63ec1ddc44a3175,6500000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,range_scan,6500000,277011375,42.617,23464740.392,d63ec1ddc44a3175,6500000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,append,write,1500000,836670625,557.780,1792820.203,d63ec1ddc44a3175,6500000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,append,point_read,100000,33060250,330.603,3024780.514,d63ec1ddc44a3175,6500000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,append,range_scan,6500000,247701709,38.108,26241240.023,d63ec1ddc44a3175,6500000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,write,1500000,6099317209,4066.211,245929.167,cf7592b3374c733e,5750000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,point_read,100000,195015959,1950.160,512778.546,cf7592b3374c733e,5750000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,range_scan,5750000,212619667,36.977,27043594.232,cf7592b3374c733e,5750000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,random,write,1500000,4135970833,2757.314,362671.803,cf7592b3374c733e,5750000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,random,point_read,100000,164847167,1648.472,606622.497,cf7592b3374c733e,5750000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,random,range_scan,5750000,239645584,41.677,23993765.727,cf7592b3374c733e,5750000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,clustered,write,1500000,1182729458,788.486,1268252.845,e8f1b4b849a1800c,5750000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,clustered,point_read,100000,33045459,330.455,3026134.393,e8f1b4b849a1800c,5750000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,mutation,clustered,range_scan,5750000,227898458,39.635,25230534.908,e8f1b4b849a1800c,5750000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,write,1500000,3690379375,2460.253,406462.276,e8f1b4b849a1800c,5750000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,point_read,100000,65023417,650.234,1537907.490,e8f1b4b849a1800c,5750000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,range_scan,5750000,243017333,42.264,23660863.729,e8f1b4b849a1800c,5750000,true,3
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,append,write,10000000,5465434416,546.543,1829680.724,f7849416b3dcc750,10000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,append,point_read,100000,129910583,1299.106,769760.228,f7849416b3dcc750,10000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,append,range_scan,10000000,350766209,35.077,28509017.526,f7849416b3dcc750,10000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,append,write,10000000,140594723375,14059.472,71126.425,f7849416b3dcc750,10000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,append,point_read,100000,168084541,1680.845,594938.710,f7849416b3dcc750,10000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,append,range_scan,10000000,363537583,36.354,27507472.315,f7849416b3dcc750,10000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,random,write,10000000,10752759750,1075.276,929993.809,4d41b1d77b2f6508,10000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,random,point_read,100000,123480667,1234.807,809843.374,4d41b1d77b2f6508,10000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,random,range_scan,10000000,392745208,39.275,25461800.160,4d41b1d77b2f6508,10000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,random,write,10000000,97322254625,9732.225,102751.421,4d41b1d77b2f6508,10000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,random,point_read,100000,167870791,1678.708,595696.246,4d41b1d77b2f6508,10000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,random,range_scan,10000000,404837792,40.484,24701251.211,4d41b1d77b2f6508,10000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,clustered,write,10000000,71319568375,7131.957,140213.973,6966fef6c9ae31a0,10000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,clustered,point_read,100000,158850959,1588.510,629520.908,6966fef6c9ae31a0,10000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,fresh,clustered,range_scan,10000000,398551375,39.855,25090868.147,6966fef6c9ae31a0,10000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,clustered,write,10000000,6793332167,679.333,1472031.656,6966fef6c9ae31a0,10000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,clustered,point_read,100000,117745833,1177.458,849286.955,6966fef6c9ae31a0,10000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,fresh,clustered,range_scan,10000000,382472583,38.247,26145664.930,6966fef6c9ae31a0,10000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,append,write,3000000,14661339833,4887.113,204619.771,f87678739d7b42d0,13000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,append,point_read,100000,68977625,689.776,1449745.479,f87678739d7b42d0,13000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,append,range_scan,13000000,534363209,41.105,24328022.179,f87678739d7b42d0,13000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,append,write,3000000,1918674125,639.558,1563579.745,f87678739d7b42d0,13000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,append,point_read,100000,34802250,348.022,2873377.440,f87678739d7b42d0,13000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,append,range_scan,13000000,516700459,39.746,25159644.768,f87678739d7b42d0,13000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,random,write,3000000,17107998125,5702.666,175356.578,e6dbf9a1f5bf1fbb,11500000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,random,point_read,100000,234566667,2345.667,426318.033,e6dbf9a1f5bf1fbb,11500000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,random,range_scan,11500000,437826625,38.072,26266104.762,e6dbf9a1f5bf1fbb,11500000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,random,write,3000000,10419092250,3473.031,287932.953,e6dbf9a1f5bf1fbb,11500000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,random,point_read,100000,209253084,2092.531,477890.209,e6dbf9a1f5bf1fbb,11500000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,random,range_scan,11500000,428923208,37.298,26811326.096,e6dbf9a1f5bf1fbb,11500000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,clustered,write,3000000,2363026167,787.675,1269558.519,6ca617ea012d7c88,11500000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,clustered,point_read,100000,33142000,331.420,3017319.413,6ca617ea012d7c88,11500000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,10000000,mutation,clustered,range_scan,11500000,417201041,36.278,27564648.383,6ca617ea012d7c88,11500000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000000,mutation,clustered,write,3000000,12526115833,4175.372,239499.621,6ca617ea012d7c88,11500000,true,1
