profile,records,workload,runs,operations,original_total_ns,current_total_ns,latency_delta_pct,latency_class,original_min_ns,original_max_ns,current_min_ns,current_max_ns,original_ns_per_op,current_ns_per_op,original_ops_per_sec,current_ops_per_sec,original_peak_rss,current_peak_rss,rss_delta_pct,memory_regression,original_fixture_bytes,current_fixture_bytes,fixture_delta_pct,size_regression,original_nodes_read,current_nodes_read,original_nodes_written,current_nodes_written,original_bytes_read,current_bytes_read,original_bytes_written,current_bytes_written,io_regression,original_tree_bytes,current_tree_bytes,original_node_payload,current_node_payload,original_num_nodes,current_num_nodes,original_height,current_height,original_entries,current_entries
full,1000,random_sparse_diff,5,100,457541,293875,-35.771,noise-sensitive,421042,472750,278625,317542,4575.410,2938.750,218559.648,340280.732,4947968,4964352,0.331,false,139264,163840,17.647,false,10,16,0,0,82922,84172,0,0,true,41461,42086,82922,84172,5,8,1,1,1000,1000
full,1000,right_edge_reads_cold_manager,5,1000000,580723500,424038000,-26.981,material gain,553994542,773050500,412352875,473510833,580.723,424.038,1721989.897,2358279.211,3997696,4030464,0.820,false,90112,102400,13.636,false,5,8,0,0,41461,42086,0,0,true,41461,42086,41461,42086,5,8,1,1,1000,1000
full,1000,right_edge_reads_warm_manager,5,1000000,569657417,423592833,-25.641,material gain,548081625,669232167,405368791,480856917,569.657,423.593,1755441.025,2360757.600,4014080,4030464,0.408,false,90112,102400,13.636,false,0,0,0,0,0,0,0,0,false,41461,42086,41461,42086,5,8,1,1,1000,1000
full,1000,shuffled_batch_build,5,1000,1228959,1135250,-7.625,noise-sensitive,1154500,1498750,1071833,1382958,1228.959,1135.250,813696.795,880863.246,5144576,5210112,1.274,false,57344,69632,21.429,false,0,0,0,0,0,0,0,0,false,41461,42086,41461,42086,5,8,1,1,1000,1000
full,1000,sorted_stream_build,5,1000,1205667,1136333,-5.751,noise-sensitive,1003333,2250542,917250,1848417,1205.667,1136.333,829416.414,880023.725,4849664,4915200,1.351,false,57344,69632,21.429,false,0,0,0,0,0,0,0,0,false,41461,42086,41461,42086,5,8,1,1,1000,1000
full,10000,append_batch_upserts,5,100,1971125,1571542,-20.272,noise-sensitive,1015250,7170750,914792,4189833,19711.250,15715.420,50732.450,63631.771,7962624,6864896,-13.786,false,499712,499712,0.000,false,2,2,3,2,6995,5718,11188,9833,false,418414,420190,425409,425908,41,39,1,1,10100,10100
full,10000,append_disjoint_sparse_merge,5,100,734958,530875,-27.768,noise-sensitive,666750,1041292,465209,919917,7349.580,5308.750,136062.197,188368.260,8060928,7208960,-10.569,false,524288,536576,2.344,false,6,6,2,2,25101,21274,11108,9833,false,418334,420190,443435,441464,40,39,1,1,10100,10100
full,10000,append_sparse_diff,5,100,208417,95125,-54.358,noise-sensitive,205291,593292,87291,107833,2084.170,951.250,479807.309,1051248.357,7536640,6864896,-8.913,false,532480,532480,0.000,false,5,4,0,0,18183,15551,0,0,false,418414,420190,425409,425908,41,39,1,1,10100,10100
full,10000,clustered_batch_deletes,5,100,1611542,1678667,4.165,material regression,1051584,14032584,1496542,5258083,16115.420,16786.670,62052.370,59571.076,7766016,7372800,-5.063,false,512000,520192,1.600,false,3,7,3,4,23564,67048,19451,30238,true,410108,411838,433672,446313,40,38,1,1,9900,9900
full,10000,clustered_batch_updates,5,100,1506375,1219167,-19.066,material gain,1198708,9160792,1134709,4734625,15063.750,12191.670,66384.532,82023.217,7847936,7127040,-9.186,false,512000,520192,1.600,false,4,5,3,4,29031,33569,23564,29454,true,414221,416075,437785,445529,40,39,1,1,10000,10000
