implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,append,merge_conflict,conflict,10000,4909459,490.946,2036884.308,916a6fa95fdd86bf,02bc567cb31a087e,1010000,1000000,1010000,10000,true,1,561725440
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,random,full_diff,compare,10000,18181041,1818.104,550023.511,7bf3adbff4c874e1,1d42ace13d3e31bf,10000,1000000,1000000,0,true,1,1326481408
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,random,range_diff,compare,1005,1798709,1789.760,558734.070,7bf3adbff4c874e1,bf3b788358cb02db,1005,1000000,1000000,0,true,1,1326481408
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,random,patch_generate,compare,10000,2500,0.250,4000000000.000,7bf3adbff4c874e1,1d42ace13d3e31bf,1,1000000,1000000,0,true,1,1326481408
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,random,patch_apply,compare,10000,3792,0.379,2637130801.688,7bf3adbff4c874e1,880c3d7c9c21aa69,1000000,1000000,1000000,0,true,1,1326481408
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,random,merge_disjoint,disjoint,20000,595448083,29772.404,33588.151,8f3713996675d31b,e150d2b887ecaac2,1000000,1000000,1000000,0,true,1,1326481408
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,random,merge_convergent,convergent,10000,417,0.042,23980815347.722,13292564efcd13d4,880c3d7c9c21aa69,1000000,1000000,1000000,0,true,1,1326481408
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,random,merge_conflict,conflict,10000,235922541,23592.254,42386.793,0f0cd46e71472bcf,880c3d7c9c21aa69,1000000,1000000,1000000,10000,true,1,1326481408
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,random,full_diff,compare,10000,29195791,2919.579,342515.125,7bf3adbff4c874e1,1d42ace13d3e31bf,10000,1000000,1000000,0,true,1,759791616
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,random,range_diff,compare,1005,2226916,2215.837,451296.771,7bf3adbff4c874e1,bf3b788358cb02db,1005,1000000,1000000,0,true,1,759791616
