prolly proximity benchmark
revision=60dfaa72e78ef743714dd14fa9c7d665c3429a9f
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
store=memory
records=1000
profile=complete
search_repeats=30
metric=Cosine
k=10
eligibility_ppm=1000000
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
operation,dimensions,threads,micros,metric_a,metric_b
turboquant_search_scalar_p95,1536,0,2172.750,1268880,0
turboquant_search_scalar_p99,1536,0,2456.708,80,5461440
turboquant_search_scalar_work,1536,0,0.000,80,1
turboquant_recall,1536,0,0,1.000000,0.009506780434081168
turboquant_search_simd,1536,0,2148.334,1000,80
turboquant_search_simd_p95,1536,0,3564.458,1268880,0
turboquant_search_simd_p99,1536,0,4365.375,80,5461440
turboquant_search_simd_work,1536,0,0.000,80,1
pq_build,1536,2,56570.541,512000,1000
pq_sidecar_bytes,1536,0,0.000,111034,1000
pq_manifest_code_bytes,1536,0,0.000,98471,12563
pq_search,1536,0,333.583,80,80
pq_search_p95,1536,0,478.875,500880,0
pq_search_p99,1536,0,500.583,80,5461440
pq_search_work,1536,0,0.000,80,1
pq_recall,1536,0,0,1.000000,0
hnsw_build,1536,0,1246937.000,900899,17170
hnsw_search,1536,0,4514.042,192,212
composite_build,1536,0,4537.000,1,6486
composite_search,1536,0,17322.584,352,371
async_search,1536,0,10787.292,6,1000
build,3072,2,107007.583,4975,1012
source_closure_bytes,3072,0,0.000,27788390,1021
search_exact_scalar,3072,0,3477.289,6,1000
recall_exact,3072,0,0,1.000000,0
search_exact_simd,3072,0,2907.239,6,1000
search_adaptive_sq8,3072,0,2919.975,6,1005
localized_mutation,3072,0,96369.042,6,738
content_graph_copy,3072,0,26741.583,1021,27788390
content_graph_gc_plan,3072,0,24110.208,1021,0
search_proof_generate,3072,0,24475.792,1020,1021
search_proof_verify,3072,0,117799.000,1020,10
turboquant_build,3072,2,60547.917,3072000,1544000
turboquant_build_resources,3072,2,0.000,1904512,61440000
turboquant_sidecar_bytes,3072,0,0.000,1549699,1544000
turboquant_manifest_code_bytes,3072,0,0.000,136,1549563
turboquant_search_scalar,3072,0,3575.042,1000,80
turboquant_search_scalar_p95,3072,0,3797.167,2528400,0
turboquant_search_scalar_p99,3072,0,4377.833,80,10862016
turboquant_search_scalar_work,3072,0,0.000,80,1
turboquant_recall,3072,0,0,1.000000,0.009414197352732821
turboquant_search_simd,3072,0,3836.166,1000,80
turboquant_search_simd_p95,3072,0,3977.291,2528400,0
turboquant_search_simd_p99,3072,0,3988.334,80,10862016
turboquant_search_simd_work,3072,0,0.000,80,1
pq_build,3072,2,127446.041,512000,1000
pq_sidecar_bytes,3072,0,0.000,209338,1000
pq_manifest_code_bytes,3072,0,0.000,196775,12563
pq_search,3072,0,547.083,80,80
pq_search_p95,3072,0,673.834,992400,0
pq_search_p99,3072,0,694.250,80,10862016
pq_search_work,3072,0,0.000,80,1
pq_recall,3072,0,0,1.000000,0
hnsw_build,3072,0,2419890.000,888161,17170
hnsw_search,3072,0,7501.334,191,211
composite_build,3072,0,10353.583,1,12630
composite_search,3072,0,31312.708,352,371
async_search,3072,0,20870.375,6,1000
