prolly proximity benchmark
revision=d73477244539e21139003d4ca38a5c1f64528f9c
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
store=memory
records=1000
profile=complete
search_repeats=30
metric=InnerProduct
k=10
eligibility_ppm=1000000
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
operation,dimensions,threads,micros,metric_a,metric_b
turboquant_search_scalar_p95,1536,0,4223.959,1268880,0
turboquant_search_scalar_p99,1536,0,4484.416,80,5461440
turboquant_search_scalar_work,1536,0,0.000,80,1
turboquant_recall,1536,0,0,1.000000,0.009506780434235784
turboquant_search_simd,1536,0,3462.292,1000,80
turboquant_search_simd_p95,1536,0,4836.792,1268880,0
turboquant_search_simd_p99,1536,0,6806.209,80,5461440
turboquant_search_simd_work,1536,0,0.000,80,1
pq_build,1536,2,77809.958,512000,1000
pq_sidecar_bytes,1536,0,0.000,111034,1000
pq_manifest_code_bytes,1536,0,0.000,98471,12563
pq_search,1536,0,367.167,80,80
pq_search_p95,1536,0,839.166,500880,0
pq_search_p99,1536,0,1443.709,80,5461440
pq_search_work,1536,0,0.000,80,1
pq_recall,1536,0,0,1.000000,0
hnsw_build,1536,0,1428889.667,903459,17170
hnsw_search,1536,0,4290.666,191,211
composite_build,1536,0,4766.583,1,6486
composite_search,1536,0,17822.750,352,371
async_search,1536,0,12039.625,6,1000
build,3072,2,125247.333,4975,1012
source_closure_bytes,3072,0,0.000,27788390,1021
search_exact_scalar,3072,0,3995.700,6,1000
recall_exact,3072,0,0,1.000000,0
search_exact_simd,3072,0,3561.564,6,1000
search_adaptive_sq8,3072,0,3232.588,6,1005
localized_mutation,3072,0,117582.625,6,738
content_graph_copy,3072,0,33373.000,1021,27788390
content_graph_gc_plan,3072,0,33587.083,1021,0
search_proof_generate,3072,0,32627.875,1020,1021
search_proof_verify,3072,0,150411.083,1020,10
turboquant_build,3072,2,72297.542,3072000,1544000
turboquant_build_resources,3072,2,0.000,1904512,61440000
turboquant_sidecar_bytes,3072,0,0.000,1549699,1544000
turboquant_manifest_code_bytes,3072,0,0.000,136,1549563
turboquant_search_scalar,3072,0,6983.875,1000,80
turboquant_search_scalar_p95,3072,0,9758.250,2528400,0
turboquant_search_scalar_p99,3072,0,9936.208,80,10862016
turboquant_search_scalar_work,3072,0,0.000,80,1
turboquant_recall,3072,0,0,1.000000,0.00941419735177133
turboquant_search_simd,3072,0,6846.333,1000,80
turboquant_search_simd_p95,3072,0,10978.125,2528400,0
