schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,50000,1,diff,random,500,500,23499583,21276.973297781497,,,,,2375680,4534272,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,50000,1,diff,clustered,500,500,1102750,453411.9247336205,,,,,2375680,2424832,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,50000,1,merge,append,500,1000,14457417,69168.64886722158,,,,,2375680,2490368,51000,51000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,50000,1,merge,random,500,1000,322317417,3102.5316885063025,,,,,2375680,8519680,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,50000,1,merge,clustered,500,1000,3818333,261894.39213394956,,,,,2375680,2506752,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,put,append,500,500,2169328667,230.48605202431503,2387042,12445250,45556958,80554667,2290728,9421768,50500,50500,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,put,random,500,500,3233265541,154.64241759906847,4100250,20070041,36723750,75433000,2290728,14863872,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,put,clustered,500,500,2912428000,171.6780638010622,3243875,16844292,27348833,89942584,2290728,15031624,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,batch,append,500,500,4235917,118038.19574368431,,,,,2290728,2369008,50500,50500,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,batch,random,500,500,110361125,4530.580854444896,,,,,2290728,4272208,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,batch,clustered,500,500,44301416,11286.32096093723,,,,,2290728,2360768,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,diff,append,500,500,2164375,231013.5720473578,,,,,2290728,2369008,50500,50500,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,diff,random,500,500,46928834,10654.430493627862,,,,,2290728,4272208,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,diff,clustered,500,500,1482583,337249.24675380735,,,,,2290728,2360768,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,merge,append,500,1000,9519625,105046.1546542012,,,,,2290728,2488488,51000,51000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,merge,random,500,1000,211498666,4728.162209779612,,,,,2290728,8157368,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,50000,1,merge,clustered,500,1000,22875000,43715.84699453552,,,,,2290728,2467888,50000,50000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,put,append,1000,1000,731178541,1367.6550171075112,281666,1361416,12226041,68585250,4747264,29917072,101000,101000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,put,random,1000,1000,634393333,1576.3091255563368,317125,1290667,8288083,29936417,4747264,34901976,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,put,clustered,1000,1000,600053833,1666.5171439709811,286000,1151709,7584375,28572792,4747264,35036904,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,batch,append,1000,1000,10697708,93477.96743003267,,,,,4747264,4903664,101000,101000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,batch,random,1000,1000,108315875,9232.257044500633,,,,,4747264,13637752,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,batch,clustered,1000,1000,18837917,53084.42541709893,,,,,4747264,4928384,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,diff,append,1000,1000,2620166,381655.2081051353,,,,,4747264,4804608,101000,101000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,diff,random,1000,1000,103580917,9654.287961169526,,,,,4747264,9019392,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,diff,clustered,1000,1000,1604459,623263.0438047965,,,,,4747264,4833280,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,merge,append,1000,2000,6456416,309769.3828898262,,,,,4747264,4882432,102000,102000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,merge,random,1000,2000,664120500,3011.5016777828723,,,,,4747264,17080320,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,100000,1,merge,clustered,1000,2000,3186792,627590.3792905216,,,,,4747264,4919296,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,put,append,1000,1000,2995093375,333.87940701514856,1892542,6293625,16974291,107896916,4489296,22430880,101000,101000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,put,random,1000,1000,4637958167,215.6121215398621,2571375,8672708,52152500,160509584,4489296,29108616,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,put,clustered,1000,1000,2707366292,369.36265438293344,1737083,4287917,7599584,141492583,4489296,29110672,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,batch,append,1000,1000,6378959,156765.39071657302,,,,,4489296,4584056,101000,101000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,batch,random,1000,1000,424202250,2357.366091292538,,,,,4489296,8596936,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,batch,clustered,1000,1000,18132000,55151.11405250386,,,,,4489296,4596416,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,diff,append,1000,1000,2008625,497853.00889912253,,,,,4489296,4584056,101000,101000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,diff,random,1000,1000,78075291,12808.149507889762,,,,,4489296,8596936,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,diff,clustered,1000,1000,3132792,319204.0837693661,,,,,4489296,4596416,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,merge,append,1000,2000,7724875,258903.8657583456,,,,,4489296,4715896,102000,102000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,merge,random,1000,2000,580628334,3444.5442684855266,,,,,4489296,16303736,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,100000,1,merge,clustered,1000,2000,5716292,349877.1581297806,,,,,4489296,4736496,100000,100000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,put,append,5000,5000,3577970166,1397.4403832410267,301000,1483209,14892542,59375041,23547904,133013296,505000,505000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,put,random,5000,5000,4924470750,1015.3375365261332,436458,2222333,15427083,47219959,23547904,190267424,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,put,clustered,5000,5000,4399693833,1136.4427139219076,310500,1641042,15316750,212292416,23547904,151781288,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,batch,append,5000,5000,56386875,88673.11763597469,,,,,23547904,24194584,505000,505000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,batch,random,5000,5000,732129375,6829.394053475863,,,,,23547904,68176824,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,batch,clustered,5000,5000,127508000,39213.22583681024,,,,,23547904,24000944,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,diff,append,5000,5000,6897000,724952.8780629259,,,,,23547904,23822336,505000,505000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,diff,random,5000,5000,322622875,15497.97112185551,,,,,23547904,45101056,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,diff,clustered,5000,5000,6860958,728761.2021528189,,,,,23547904,23805952,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,merge,append,5000,10000,132362292,75550.21788229536,,,,,23547904,24113152,510000,510000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,merge,random,5000,10000,3973080875,2516.9384451556125,,,,,23547904,86286336,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,500000,1,merge,clustered,5000,10000,3737458,2675615.351396591,,,,,23547904,24092672,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,put,append,5000,5000,10226079041,488.945956700825,1651333,4125792,8169917,45256917,22278224,128404288,505000,505000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,put,random,5000,5000,12544348500,398.5858651806429,2383208,3283541,6455583,39250125,22278224,177549872,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,put,clustered,5000,5000,10288970958,485.9572468821425,1983042,2340375,5250458,23318250,22278224,141954080,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,batch,append,5000,5000,11069208,451703.5003769014,,,,,22278224,22628424,505000,505000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,batch,random,5000,5000,662785875,7543.914541027297,,,,,22278224,42688592,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,batch,clustered,5000,5000,24297042,205786.36691659832,,,,,22278224,22599584,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,diff,append,5000,5000,3379375,1479563.5287590162,,,,,22278224,22628424,505000,505000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,diff,random,5000,5000,329173958,15189.53695601886,,,,,22278224,42688592,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,diff,clustered,5000,5000,9240292,541108.4411618161,,,,,22278224,22599584,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,merge,append,5000,10000,57340250,174397.56540998688,,,,,22278224,23023944,510000,510000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,merge,random,5000,10000,2407094500,4154.3861281723675,,,,,22278224,82063440,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,500000,1,merge,clustered,5000,10000,5433625,1840392.003496745,,,,,22278224,23015704,500000,500000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,1000000,1,put,append,10000,10000,4966469875,2013.5025987648824,256333,486959,12770708,40599125,47177728,272408824,1010000,1010000,true,
