suite,target,records,api,pattern,pairs,samples_per_revision_pair,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns,status,reasons
local-adapters,file-sync,10000,batch,append,5,3,26.027529741077675,1859667.0,-20.652257323896592,26.027529741077675,1859667.0,26.027529741077675,1859667.0,fail,median_latency_regression;median_throughput_regression;p95_latency_regression
local-adapters,file-sync,10000,batch,clustered,5,3,3.387099711368022,407334.0,-3.276133793117316,3.387099711368022,407334.0,3.387099711368022,407334.0,pass,
local-adapters,file-sync,10000,batch,random,5,3,-11.409195612307734,-16860167.0,12.878532587173098,-11.409195612307734,-16860167.0,-11.409195612307734,-16860167.0,pass,
local-adapters,file-sync,10000,build,append,5,3,-3.062737091419071,-7474250.0,3.159504404727695,-3.062737091419071,-7474250.0,-3.062737091419071,-7474250.0,pass,
local-adapters,file-sync,10000,build,clustered,5,3,-0.31150922268094006,-704668.0,0.31248263490794626,-0.31150922268094006,-704668.0,-0.31150922268094006,-704668.0,pass,
local-adapters,file-sync,10000,build,random,5,3,1.422320643223153,3356333.0,-1.4023743828801851,1.422320643223153,3356333.0,1.422320643223153,3356333.0,pass,
local-adapters,file-sync,10000,diff,append,5,3,-1.0826322311354595,-166.0,1.094481439968352,-1.0826322311354595,-166.0,-1.0826322311354595,-166.0,pass,
local-adapters,file-sync,10000,diff,clustered,5,3,-14.235675675675678,-3208.0,16.598598295769666,-14.235675675675678,-3208.0,-14.235675675675678,-3208.0,pass,
local-adapters,file-sync,10000,diff,random,5,3,1.6071571075162168,33834.0,-1.5817361229933764,1.6071571075162168,33834.0,1.6071571075162168,33834.0,pass,
local-adapters,file-sync,10000,merge,append,5,3,-0.028243528098866124,-2542.0,0.028251507321269458,-0.028243528098866124,-2542.0,-0.028243528098866124,-2542.0,pass,
