suite,revision_role,pair,revision,adapter,records,changes,api,pattern,run,total_ns,operations_per_sec,p50_ns,p95_ns,root,node_count,byte_count,value_valid,count_valid,root_valid,reopen_valid
local-adapters,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,diff,append,3,11458,8727526.618956188,11458,11458,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,diff,random,3,81958,1220137.1434149197,81958,81958,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,reopen,append,3,492167,2031.8306591055477,492167,492167,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,reopen,random,3,445083,2246.7719504002625,445083,445083,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,diff,append,1,13292,7523322.299127294,13292,13292,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,diff,random,1,102916,971666.2132224338,102916,102916,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,reopen,append,1,415958,2404.088874357507,415958,415958,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,reopen,random,1,1249375,800.40020010005,1249375,1249375,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,diff,append,2,13375,7476635.514018692,13375,13375,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,2,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,diff,random,2,90375,1106500.6915629322,90375,90375,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
