implementation,revision,contract_version,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,repetition,peak_rss_bytes
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,clustered,write,3000,1789000,596.333,1676914.477,5caed8dbd3056277,11500,true,1,9519104
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,clustered,point_read,13000,1291083,99.314,10069066.048,5caed8dbd3056277,11500,true,1,9519104
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,clustered,range_scan,11500,58833,5.116,195468529.567,5caed8dbd3056277,11500,true,1,9519104
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,clustered,write,3000,2041959,680.653,1469177.393,5caed8dbd3056277,11500,true,1,28770304
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,clustered,point_read,13000,4619250,355.327,2814309.682,5caed8dbd3056277,11500,true,1,28770304
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,clustered,range_scan,11500,259666,22.580,44287661.843,5caed8dbd3056277,11500,true,1,28770304
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,append,write,10000,5973834,597.383,1673966.836,51f55fcd59187cbf,10000,true,2,30457856
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,append,point_read,10000,3679458,367.946,2717791.588,51f55fcd59187cbf,10000,true,2,30457856
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,append,range_scan,10000,204750,20.475,48840048.840,51f55fcd59187cbf,10000,true,2,30457856
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,append,write,10000,2815875,281.587,3551294.003,51f55fcd59187cbf,10000,true,2,6946816
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,append,point_read,10000,1457167,145.717,6862631.394,51f55fcd59187cbf,10000,true,2,6946816
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,append,range_scan,10000,45166,4.517,221405482.000,51f55fcd59187cbf,10000,true,2,6946816
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,random,write,10000,7125041,712.504,1403500.696,004197dd790a1245,10000,true,2,30523392
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,random,point_read,10000,3679542,367.954,2717729.544,004197dd790a1245,10000,true,2,30523392
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,random,range_scan,10000,205167,20.517,48740781.900,004197dd790a1245,10000,true,2,30523392
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,random,write,10000,4092416,409.242,2443544.351,004197dd790a1245,10000,true,2,6782976
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,random,point_read,10000,1771250,177.125,5645730.416,004197dd790a1245,10000,true,2,6782976
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,random,range_scan,10000,56750,5.675,176211453.744,004197dd790a1245,10000,true,2,6782976
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,clustered,write,10000,3227916,322.792,3097974.049,86e38047f6ae04b3,10000,true,2,6848512
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,clustered,point_read,10000,1624167,162.417,6157002.328,86e38047f6ae04b3,10000,true,2,6848512
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,clustered,range_scan,10000,52166,5.217,191695740.521,86e38047f6ae04b3,10000,true,2,6848512
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,clustered,write,10000,6484542,648.454,1542128.958,86e38047f6ae04b3,10000,true,2,30507008
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,clustered,point_read,10000,3673500,367.350,2722199.537,86e38047f6ae04b3,10000,true,2,30507008
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,clustered,range_scan,10000,209125,20.913,47818290.496,86e38047f6ae04b3,10000,true,2,30507008
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,append,write,3000,816875,272.292,3672532.517,2ef1df79e1226620,13000,true,2,7815168
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,append,point_read,13000,1303000,100.231,9976976.209,2ef1df79e1226620,13000,true,2,7815168
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,append,range_scan,13000,68250,5.250,190476190.476,2ef1df79e1226620,13000,true,2,7815168
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,append,write,3000,2301417,767.139,1303544.729,2ef1df79e1226620,13000,true,2,29523968
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,append,point_read,13000,4324666,332.667,3006012.487,2ef1df79e1226620,13000,true,2,29523968
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,append,range_scan,13000,273792,21.061,47481299.673,2ef1df79e1226620,13000,true,2,29523968
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,random,write,3000,5324125,1774.708,563472.871,3bc7e45ef276a1c5,11500,true,2,12419072
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,random,point_read,13000,1878166,144.474,6921645.904,3bc7e45ef276a1c5,11500,true,2,12419072
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,random,range_scan,11500,62333,5.420,184492965.203,3bc7e45ef276a1c5,11500,true,2,12419072
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,random,write,3000,4291459,1430.486,699062.953,3bc7e45ef276a1c5,11500,true,2,29409280
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,random,point_read,13000,4841041,372.388,2685372.836,3bc7e45ef276a1c5,11500,true,2,29409280
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,random,range_scan,11500,238542,20.743,48209539.620,3bc7e45ef276a1c5,11500,true,2,29409280
