schema,revision,dirty,records,repetition,build_ns,records_per_sec,num_nodes,num_leaves,num_internal,height,tree_bytes,database_bytes,observed_records,error,validated
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,1236357125,808827.7891389998,7719,7644,75,3,104662829,118599680,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,2,1129792250,885118.480853449,7719,7644,75,3,104662829,118599680,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,3,1283127375,779345.8541089889,7719,7644,75,3,104662829,118599680,1000000,,true
