implementation,kind,records,repetition,operation,pattern,cache_state,exit_status,validation,peak_rss_bytes,json,stderr,time
rust,cell,1000000,3,get_warm,append,warm-manager,0,ok,357826560,raw/rust-cell-1000000-r3-get_warm-append.json,raw/rust-cell-1000000-r3-get_warm-append.stderr,raw/rust-cell-1000000-r3-get_warm-append.time
dolt-go,cell,1000000,3,get_warm,append,warm-manager,0,ok,31735808,raw/dolt-go-cell-1000000-r3-get_warm-append.json,raw/dolt-go-cell-1000000-r3-get_warm-append.stderr,raw/dolt-go-cell-1000000-r3-get_warm-append.time
dolt-go,cell,1000000,3,get_warm,random,warm-manager,0,ok,94732288,raw/dolt-go-cell-1000000-r3-get_warm-random.json,raw/dolt-go-cell-1000000-r3-get_warm-random.stderr,raw/dolt-go-cell-1000000-r3-get_warm-random.time
rust,cell,1000000,3,get_warm,random,warm-manager,0,ok,365690880,raw/rust-cell-1000000-r3-get_warm-random.json,raw/rust-cell-1000000-r3-get_warm-random.stderr,raw/rust-cell-1000000-r3-get_warm-random.time
rust,cell,1000000,3,get_warm,clustered,warm-manager,0,ok,357482496,raw/rust-cell-1000000-r3-get_warm-clustered.json,raw/rust-cell-1000000-r3-get_warm-clustered.stderr,raw/rust-cell-1000000-r3-get_warm-clustered.time
dolt-go,cell,1000000,3,get_warm,clustered,warm-manager,0,ok,31981568,raw/dolt-go-cell-1000000-r3-get_warm-clustered.json,raw/dolt-go-cell-1000000-r3-get_warm-clustered.stderr,raw/dolt-go-cell-1000000-r3-get_warm-clustered.time
dolt-go,cell,1000000,3,query,append,n/a,0,ok,29392896,raw/dolt-go-cell-1000000-r3-query-append.json,raw/dolt-go-cell-1000000-r3-query-append.stderr,raw/dolt-go-cell-1000000-r3-query-append.time
rust,cell,1000000,3,query,append,n/a,0,ok,355794944,raw/rust-cell-1000000-r3-query-append.json,raw/rust-cell-1000000-r3-query-append.stderr,raw/rust-cell-1000000-r3-query-append.time
rust,cell,1000000,3,query,random,n/a,0,ok,430538752,raw/rust-cell-1000000-r3-query-random.json,raw/rust-cell-1000000-r3-query-random.stderr,raw/rust-cell-1000000-r3-query-random.time
dolt-go,cell,1000000,3,query,random,n/a,0,ok,91586560,raw/dolt-go-cell-1000000-r3-query-random.json,raw/dolt-go-cell-1000000-r3-query-random.stderr,raw/dolt-go-cell-1000000-r3-query-random.time
dolt-go,cell,1000000,3,query,clustered,n/a,0,ok,29540352,raw/dolt-go-cell-1000000-r3-query-clustered.json,raw/dolt-go-cell-1000000-r3-query-clustered.stderr,raw/dolt-go-cell-1000000-r3-query-clustered.time
rust,cell,1000000,3,query,clustered,n/a,0,ok,358006784,raw/rust-cell-1000000-r3-query-clustered.json,raw/rust-cell-1000000-r3-query-clustered.stderr,raw/rust-cell-1000000-r3-query-clustered.time
rust,cell,1000000,3,scan,append,n/a,0,ok,358596608,raw/rust-cell-1000000-r3-scan-append.json,raw/rust-cell-1000000-r3-scan-append.stderr,raw/rust-cell-1000000-r3-scan-append.time
dolt-go,cell,1000000,3,scan,append,n/a,0,ok,28753920,raw/dolt-go-cell-1000000-r3-scan-append.json,raw/dolt-go-cell-1000000-r3-scan-append.stderr,raw/dolt-go-cell-1000000-r3-scan-append.time
dolt-go,cell,1000000,3,scan,random,n/a,0,ok,28524544,raw/dolt-go-cell-1000000-r3-scan-random.json,raw/dolt-go-cell-1000000-r3-scan-random.stderr,raw/dolt-go-cell-1000000-r3-scan-random.time
rust,cell,1000000,3,scan,random,n/a,0,ok,357351424,raw/rust-cell-1000000-r3-scan-random.json,raw/rust-cell-1000000-r3-scan-random.stderr,raw/rust-cell-1000000-r3-scan-random.time
rust,cell,1000000,3,scan,clustered,n/a,0,ok,357335040,raw/rust-cell-1000000-r3-scan-clustered.json,raw/rust-cell-1000000-r3-scan-clustered.stderr,raw/rust-cell-1000000-r3-scan-clustered.time
dolt-go,cell,1000000,3,scan,clustered,n/a,0,ok,28491776,raw/dolt-go-cell-1000000-r3-scan-clustered.json,raw/dolt-go-cell-1000000-r3-scan-clustered.stderr,raw/dolt-go-cell-1000000-r3-scan-clustered.time
dolt-go,cell,1000000,3,full_scan,append,n/a,0,ok,291717120,raw/dolt-go-cell-1000000-r3-full_scan-append.json,raw/dolt-go-cell-1000000-r3-full_scan-append.stderr,raw/dolt-go-cell-1000000-r3-full_scan-append.time
rust,cell,1000000,3,full_scan,append,n/a,0,ok,390627328,raw/rust-cell-1000000-r3-full_scan-append.json,raw/rust-cell-1000000-r3-full_scan-append.stderr,raw/rust-cell-1000000-r3-full_scan-append.time
rust,cell,1000000,3,diff,append,n/a,0,ok,583139328,raw/rust-cell-1000000-r3-diff-append.json,raw/rust-cell-1000000-r3-diff-append.stderr,raw/rust-cell-1000000-r3-diff-append.time
dolt-go,cell,1000000,3,diff,append,n/a,0,ok,172982272,raw/dolt-go-cell-1000000-r3-diff-append.json,raw/dolt-go-cell-1000000-r3-diff-append.stderr,raw/dolt-go-cell-1000000-r3-diff-append.time
dolt-go,cell,1000000,3,diff,random,n/a,0,ok,719994880,raw/dolt-go-cell-1000000-r3-diff-random.json,raw/dolt-go-cell-1000000-r3-diff-random.stderr,raw/dolt-go-cell-1000000-r3-diff-random.time
rust,cell,1000000,3,diff,random,n/a,0,ok,1162264576,raw/rust-cell-1000000-r3-diff-random.json,raw/rust-cell-1000000-r3-diff-random.stderr,raw/rust-cell-1000000-r3-diff-random.time
rust,cell,1000000,3,diff,clustered,n/a,0,ok,597409792,raw/rust-cell-1000000-r3-diff-clustered.json,raw/rust-cell-1000000-r3-diff-clustered.stderr,raw/rust-cell-1000000-r3-diff-clustered.time
dolt-go,cell,1000000,3,diff,clustered,n/a,0,ok,253689856,raw/dolt-go-cell-1000000-r3-diff-clustered.json,raw/dolt-go-cell-1000000-r3-diff-clustered.stderr,raw/dolt-go-cell-1000000-r3-diff-clustered.time
dolt-go,cell,1000000,3,merge,append,n/a,0,ok,160350208,raw/dolt-go-cell-1000000-r3-merge-append.json,raw/dolt-go-cell-1000000-r3-merge-append.stderr,raw/dolt-go-cell-1000000-r3-merge-append.time
rust,cell,1000000,3,merge,append,n/a,0,ok,563920896,raw/rust-cell-1000000-r3-merge-append.json,raw/rust-cell-1000000-r3-merge-append.stderr,raw/rust-cell-1000000-r3-merge-append.time
rust,cell,1000000,3,merge,random,n/a,0,ok,1304985600,raw/rust-cell-1000000-r3-merge-random.json,raw/rust-cell-1000000-r3-merge-random.stderr,raw/rust-cell-1000000-r3-merge-random.time
dolt-go,cell,1000000,3,merge,random,n/a,0,ok,870989824,raw/dolt-go-cell-1000000-r3-merge-random.json,raw/dolt-go-cell-1000000-r3-merge-random.stderr,raw/dolt-go-cell-1000000-r3-merge-random.time
dolt-go,cell,1000000,3,merge,clustered,n/a,0,ok,264372224,raw/dolt-go-cell-1000000-r3-merge-clustered.json,raw/dolt-go-cell-1000000-r3-merge-clustered.stderr,raw/dolt-go-cell-1000000-r3-merge-clustered.time
rust,cell,1000000,3,merge,clustered,n/a,0,ok,446234624,raw/rust-cell-1000000-r3-merge-clustered.json,raw/rust-cell-1000000-r3-merge-clustered.stderr,raw/rust-cell-1000000-r3-merge-clustered.time
