schema,revision,dirty,adapter,records,repetition,build_ns,records_per_sec,database_bytes,observed_records,validated,error
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,6390084,1564924.6551375538,483328,10000,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,11461625,872476.6339851461,515008,10000,true,
