records,density,locality,operation,relationship,runs,rust_median_ns,go_median_ns,rust_median_ns_per_op,go_median_ns_per_op,rust_cv_percent,go_cv_percent,rust_vs_go,winner,winner_consistent
10000,30,random,merge_conflict,conflict,3,7449500,2911959,2483.167,970.653,1.1048254981124652,5.17953674193443,0.3908932143096852,dolt-go,True
10000,30,random,merge_convergent,convergent,3,250,313250,0.083,104.417,36.2248899319147,5.714685036175616,1253.0,rust,True
10000,30,random,merge_disjoint,disjoint,3,7331333,4976208,1221.889,829.368,14.340861893218445,6.950064110224359,0.6787589651158936,dolt-go,True
10000,30,random,patch_apply,compare,3,7395792,12458,2465.264,4.153,9.004777686877423,66.73671790739985,0.0016844713858907875,dolt-go,True
10000,30,random,patch_generate,compare,3,491333,8541,163.778,2.847,5.605750441080306,71.18842871165468,0.01738332251243047,dolt-go,True
10000,30,random,range_diff,compare,3,62500,140667,191.131,430.174,14.917219846993056,35.66520869346681,2.250672,rust,True
50000,0,none,full_diff,compare,3,83,1250,83.0,1250.0,28.08738779222808,60.35591969039563,15.060240963855422,rust,True
50000,0,none,merge_noop,noop,3,458,56459,458.0,56459.0,27.145250251218222,118.94763390028267,123.27292576419214,rust,True
50000,0,none,patch_apply,compare,3,1250,375,1250.0,375.0,9.432286033416961,13.36312106943006,0.3,dolt-go,True
50000,0,none,patch_generate,compare,3,2208,2959,2208.0,2959.0,5.659960555187668,34.58540482882678,1.3401268115942029,rust,True
50000,0,none,range_diff,compare,3,583,2083,583.0,2083.0,65.89040760277946,3.344489428083382,3.5728987993138936,rust,True
50000,1,append,full_diff,compare,3,34334,101500,68.668,203.0,6.939869887929008,4.724317809461857,2.956253276635405,rust,True
50000,1,append,merge_conflict,conflict,3,824666,342208,1649.332,684.416,12.704891127608576,74.49810596353454,0.4149655739414502,dolt-go,False
50000,1,append,merge_convergent,convergent,3,250,587792,0.5,1175.584,76.67251323462851,62.588838977784825,2351.168,rust,True
50000,1,append,merge_disjoint,disjoint,3,613042,176250,613.042,176.25,3.5928069621640906,17.503964723900268,0.28750069326408306,dolt-go,True
50000,1,append,patch_apply,compare,3,2554500,47416,5109.0,94.832,18.36751658755527,10.337416615316194,0.018561753767860636,dolt-go,True
50000,1,append,patch_generate,compare,3,41375,6000,82.75,12.0,2.004274685068049,19.406254135115848,0.14501510574018128,dolt-go,True
50000,1,append,range_diff,compare,3,39167,106708,78.334,213.416,18.770669910640635,7.126247103176116,2.724436387775423,rust,True
50000,1,clustered,full_diff,compare,3,52042,147292,104.084,294.584,2.9469703078406986,3.27105731898385,2.830252488374774,rust,True
50000,1,clustered,merge_conflict,conflict,3,982459,385041,1964.918,770.082,4.423967372229872,49.16791068380274,0.3919155913885465,dolt-go,True
50000,1,clustered,merge_convergent,convergent,3,416,33625,0.832,67.25,18.264916545326557,128.91365666423394,80.82932692307692,rust,True
50000,1,clustered,merge_disjoint,disjoint,3,1328166,454334,1328.166,454.334,1.280272782046762,32.17883833696123,0.3420762163765674,dolt-go,True
50000,1,clustered,patch_apply,compare,3,766917,78833,1533.834,157.666,1.3106973984295178,18.22614372450563,0.10279208832246514,dolt-go,True
50000,1,clustered,patch_generate,compare,3,52667,7083,105.334,14.166,5.358829038923332,18.627026906515134,0.1344864905918317,dolt-go,True
50000,1,clustered,range_diff,compare,3,50042,140917,100.084,281.834,1.3849001486017023,2.23883239523047,2.815974581351665,rust,True
50000,1,random,full_diff,compare,3,674292,803958,1348.584,1607.916,4.551833282111838,8.366513365742094,1.192299478564183,rust,True
50000,1,random,merge_conflict,conflict,3,24824583,1826084,49649.166,3652.168,1.532741711899569,18.381562368813157,0.07355950349699732,dolt-go,True
50000,1,random,merge_convergent,convergent,3,375,45584,0.75,91.168,27.216552697590867,83.15285663177521,121.55733333333333,rust,True
50000,1,random,merge_disjoint,disjoint,3,27464792,4668083,27464.792,4668.083,0.36816279449679373,13.666387579992017,0.1699660787527537,dolt-go,True
50000,1,random,patch_apply,compare,3,17662292,40375,35324.584,80.75,3.8925643028682266,34.328164690448325,0.002285943409836051,dolt-go,True
50000,1,random,patch_generate,compare,3,662209,10833,1324.418,21.666,3.3789840460040974,6.878945407506231,0.01635888367569755,dolt-go,True
50000,1,random,range_diff,compare,3,74250,72334,1485.0,1446.68,3.297237077039531,8.546835096052755,0.9741952861952862,dolt-go,False
50000,30,append,full_diff,compare,3,955625,2812667,63.708,187.511,2.8728517061762298,16.758204428140097,2.943274820143885,rust,True
50000,30,append,merge_conflict,conflict,3,15836292,7232917,1055.753,482.194,1.0660115614151664,1.4905755532901257,0.4567304644294258,dolt-go,True
50000,30,append,merge_convergent,convergent,3,458,56250,0.031,3.75,54.02363001399214,80.13262498588291,122.81659388646288,rust,True
50000,30,append,merge_disjoint,disjoint,3,10077000,289208,335.9,9.64,2.7535189574694083,7.999701589990421,0.02869981145182098,dolt-go,True
50000,30,append,patch_apply,compare,3,67295083,65417,4486.339,4.361,3.003527961180279,0.9385488302161383,0.0009720918243016359,dolt-go,True
50000,30,append,patch_generate,compare,3,1045167,17041,69.678,1.136,6.696097784651454,12.605630839675747,0.01630457142255735,dolt-go,True
50000,30,append,range_diff,compare,3,516417,1293333,79.461,199.005,2.946012988342421,1.277118530093472,2.5044353690912575,rust,True
50000,30,clustered,full_diff,compare,3,1995208,3983708,133.014,265.581,7.750914858132059,1.8165304276496121,1.9966379445150582,rust,True
50000,30,clustered,merge_conflict,conflict,3,20222291,9187375,1348.153,612.492,3.5051257580544117,7.902923664218986,0.45431919657372155,dolt-go,True
50000,30,clustered,merge_convergent,convergent,3,250,144542,0.017,9.636,14.243877606635492,49.404031213329525,578.168,rust,True
50000,30,clustered,merge_disjoint,disjoint,3,16628833,4705542,554.294,156.851,7.314575651241217,7.279177442510224,0.28297487863399673,dolt-go,True
50000,30,clustered,patch_apply,compare,3,18342000,149583,1222.8,9.972,0.8718732802314841,7.608072440355687,0.008155217533529604,dolt-go,True
50000,30,clustered,patch_generate,compare,3,2285542,11625,152.369,0.775,7.253512226390512,17.932440902918767,0.005086320881436439,dolt-go,True
50000,30,clustered,range_diff,compare,3,359250,653958,146.633,266.922,11.042339667376023,17.2177669253659,1.8203423799582463,rust,True
50000,30,random,full_diff,compare,3,2281250,6456916,152.083,430.461,85.40372386098993,6.261301114445194,2.8304289315068494,rust,False
50000,30,random,merge_conflict,conflict,3,36083292,13591000,2405.553,906.067,10.290142464558791,2.748081457416915,0.376656320604007,dolt-go,True
50000,30,random,merge_convergent,convergent,3,292,203291,0.019,13.553,88.24701105443492,35.156089408782165,696.2020547945206,rust,True
50000,30,random,merge_disjoint,disjoint,3,36789542,22644291,1226.318,754.81,5.151759490504797,3.3881422212424774,0.6155089128318042,dolt-go,True
50000,30,random,patch_apply,compare,3,39271292,41334,2618.086,2.756,4.530154621815672,43.65450340204432,0.0010525245769861609,dolt-go,True
50000,30,random,patch_generate,compare,3,2508125,16541,167.208,1.103,12.96958906503251,8.22435537600736,0.006594966359332171,dolt-go,True
50000,30,random,range_diff,compare,3,297958,701166,182.126,428.586,63.59061462010025,8.872299073673116,2.3532377046429365,rust,False
1000000,0,none,full_diff,compare,3,41,1542,41.0,1542.0,70.72607287440565,5.594943732939706,37.609756097560975,rust,True
1000000,0,none,merge_noop,noop,3,167,53458,167.0,53458.0,20.53464455027814,30.88769213546444,320.1077844311377,rust,True
1000000,0,none,patch_apply,compare,3,1500,417,1500.0,417.0,14.481372689962752,4.912900712958643,0.278,dolt-go,True
1000000,0,none,patch_generate,compare,3,4500,3875,4500.0,3875.0,30.331113615325204,13.431771038251963,0.8611111111111112,dolt-go,False
1000000,0,none,range_diff,compare,3,1125,2542,1125.0,2542.0,30.98163758060135,2.7602319075503225,2.2595555555555555,rust,True
1000000,1,append,full_diff,compare,3,1543875,1938792,154.387,193.879,6.1136768569475075,2.715110554683699,1.2557959679378188,rust,True
1000000,1,append,merge_conflict,conflict,3,11741500,4727875,1174.15,472.788,2.0530589979558598,3.0366563754096787,0.4026636290082187,dolt-go,True
1000000,1,append,merge_convergent,convergent,3,375,71041,0.037,7.104,60.34380390767667,3.56394512732539,189.44266666666667,rust,True
1000000,1,append,merge_disjoint,disjoint,3,6996625,444500,349.831,22.225,1.3497003487313242,8.306209532344104,0.06353063083986922,dolt-go,True
1000000,1,append,patch_apply,compare,3,45261334,72625,4526.133,7.263,7.372615024209478,15.593864482372691,0.0016045704706803383,dolt-go,True
1000000,1,append,patch_generate,compare,3,1662334,10167,166.233,1.017,11.142986042656482,20.292598060362053,0.006116099412031517,dolt-go,True
1000000,1,append,range_diff,compare,3,1632208,1873041,163.221,187.304,11.100628700586086,3.6529019754981884,1.1475504347485124,rust,False
1000000,1,clustered,full_diff,compare,3,912000,2758375,91.2,275.837,7.784775918569335,9.048315725070616,3.02453399122807,rust,True
1000000,1,clustered,merge_conflict,conflict,3,12957208,6497625,1295.721,649.763,0.9652561742911521,5.845291735971392,0.5014679860043924,dolt-go,True
1000000,1,clustered,merge_convergent,convergent,3,416,59625,0.042,5.963,63.66413583219621,17.16397769724532,143.32932692307693,rust,True
1000000,1,clustered,merge_disjoint,disjoint,3,13586208,832708,679.31,41.635,1.4650101924515326,71.72446539444603,0.061290685377406263,dolt-go,True
1000000,1,clustered,patch_apply,compare,3,13622125,30958,1362.213,3.096,2.9209633892175515,12.280994360988249,0.002272626333997082,dolt-go,True
1000000,1,clustered,patch_generate,compare,3,1030750,10708,103.075,1.071,3.219409327437775,23.838760154072176,0.010388552025224351,dolt-go,True
1000000,1,clustered,range_diff,compare,3,204250,504458,102.125,252.229,12.563504596713596,6.936144918541125,2.4698066095471236,rust,True
1000000,1,random,full_diff,compare,3,18107416,29031167,1810.742,2903.117,1.3563507300249587,2.710851554302291,1.603274978605451,rust,True
1000000,1,random,merge_conflict,conflict,3,541826583,66950375,54182.658,6695.038,1.2422042667111026,1.236543964965556,0.12356421242624782,dolt-go,True
1000000,1,random,merge_convergent,convergent,3,208,342666,0.021,34.267,21.78841024831664,5.556017211595721,1647.4326923076924,rust,True
1000000,1,random,merge_disjoint,disjoint,3,595155834,147245209,29757.792,7362.26,5.328342233968576,3.3728754850352267,0.2474061423717809,dolt-go,True
1000000,1,random,patch_apply,compare,3,382278292,31250,38227.829,3.125,0.6195494722188862,2.5918552363370275,8.174672916033641e-05,dolt-go,True
1000000,1,random,patch_generate,compare,3,18009500,15667,1800.95,1.567,0.5140636640355372,14.763513707944234,0.0008699297592937061,dolt-go,True
1000000,1,random,range_diff,compare,3,1684959,2294125,1676.576,2282.711,2.60456123366762,8.764572833354897,1.3615316455771327,rust,True
1000000,30,append,full_diff,compare,3,19387875,60797084,64.626,202.657,1.5932287139516967,3.8961554162414513,3.1358302031553227,rust,True
1000000,30,append,merge_conflict,conflict,3,311942250,147769000,1039.807,492.563,1.1459092614651774,1.5977985123047909,0.4737062709523958,dolt-go,True
1000000,30,append,merge_convergent,convergent,3,83,118917,0.0,0.396,96.32435860168225,30.630552732344036,1432.7349397590363,rust,True
1000000,30,append,merge_disjoint,disjoint,3,202307125,542791,337.179,0.905,2.2316725952971126,1.8349831630311262,0.002683004862038349,dolt-go,True
1000000,30,append,patch_apply,compare,3,1328931375,91208,4429.771,0.304,0.2615267057560635,3.3476146895703995,6.863258834565479e-05,dolt-go,True
1000000,30,append,patch_generate,compare,3,20672875,19542,68.91,0.065,1.1234096416807278,27.75728147422293,0.000945296674990779,dolt-go,True
1000000,30,append,range_diff,compare,3,11169417,38058291,85.919,292.758,0.7893185710099946,15.329965450434866,3.4073659350349264,rust,True
1000000,30,clustered,full_diff,compare,3,38352541,87949000,127.842,293.163,0.6120890899398803,0.9933566978051549,2.293172700082636,rust,True
1000000,30,clustered,merge_conflict,conflict,3,398219250,181873500,1327.398,606.245,1.6520847502597424,3.9631834333496263,0.4567169969809345,dolt-go,True
1000000,30,clustered,merge_convergent,convergent,3,292,288250,0.001,0.961,30.752064834287307,3.9031123112569683,987.1575342465753,rust,True
1000000,30,clustered,merge_disjoint,disjoint,3,349585750,96095209,582.643,160.159,3.4452137128592972,0.49710764825054327,0.27488308376414083,dolt-go,True
1000000,30,clustered,patch_apply,compare,3,357640750,36917,1192.136,0.123,5.643029680322909,13.758150842168549,0.00010322369584562161,dolt-go,True
1000000,30,clustered,patch_generate,compare,3,40019916,24667,133.4,0.082,1.7359886074497795,32.03016788699371,0.0006163681103178727,dolt-go,True
1000000,30,clustered,range_diff,compare,3,4577208,9649417,138.703,292.407,0.2321021593213791,0.30635787070612314,2.1081447467539163,rust,True
1000000,30,random,full_diff,compare,3,45220042,129126292,150.733,430.421,10.697290655564375,2.257229620831568,2.8555102182346492,rust,True
1000000,30,random,merge_conflict,conflict,3,732705916,314767250,2442.353,1049.224,2.356614696893601,2.9139305756879663,0.42959561691323916,dolt-go,True
1000000,30,random,merge_convergent,convergent,3,125,24289875,0.0,80.966,72.8720129291282,0.504881101484678,194319.0,rust,True
1000000,30,random,merge_disjoint,disjoint,3,736177459,471173542,1226.962,785.289,2.374164967689503,4.640123262736686,0.6400271242208735,dolt-go,True
1000000,30,random,patch_apply,compare,3,772432125,35917,2574.774,0.12,0.5910346263168599,9.451165445015178,4.649858393706761e-05,dolt-go,True
1000000,30,random,patch_generate,compare,3,47957959,14250,159.86,0.048,2.3802022867059485,14.535554473997731,0.00029713524714427485,dolt-go,True
