implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,version_publish,publish,100,4247916,42479.160,23540.955,1ba29dfcdbf1edec,d8f03a954d666c5f,10000,10000,10000,0,true,3,14041088
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,version_publish,publish,100,551750,5517.500,181241.504,aaaafa1c2386b44f,410f65ee53058013,10000,10000,10000,0,true,3,10878976
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,version_publish,publish,3000,1224500,408.167,2449979.584,6119cf30f953787c,f4a19c5b788fa4e1,13000,10000,13000,0,true,3,11468800
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,random,version_publish,publish,3000,7370875,2456.958,407007.309,bba5670739e19bf2,5a91922c35a5d419,10000,10000,10000,0,true,3,15286272
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,clustered,version_publish,publish,3000,1888875,629.625,1588246.972,73089ae058bf6726,3edcab869b202ab0,10000,10000,10000,0,true,3,12304384
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,head_resolve,read,10000,8089250,808.925,1236208.548,467a90896036fde5,b9ceaff8e2a09660,10000,10000,10000,0,true,3,12976128
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,snapshot_resolve,read,2000,3522042,1761.021,567852.399,467a90896036fde5,e76ba8fe230edcd0,2000,10000,10000,0,true,3,12976128
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,historical_point_read,read,100000,569349833,5693.498,175638.938,467a90896036fde5,fe11ffa327aa418a,100000,10000,10000,0,true,3,12976128
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,historical_range_scan,read,30000,5414208,180.474,5540976.630,467a90896036fde5,88768ffe1f91a9a5,30000,10000,10000,0,true,3,12976128
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,version_list,read,10000,11262458,1126.246,887905.642,467a90896036fde5,7e4addcc6fca3400,10000,10000,10000,0,true,3,12976128
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,rollback,rollback,1000,3098709,3098.709,322715.040,467a90896036fde5,fd7d8b7cb3ac3e94,1000,10000,10000,0,true,3,11632640
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,retention_prune,prune,100,204916,2049.160,488004.841,467a90896036fde5,3bb0f6f78508f156,11,100,11,0,true,3,12025856
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,1,append,version_publish,publish,500,450667,901.334,1109466.635,749fe85e08d746cf,92f9adb9986ad6fe,50500,50000,50500,0,true,1,39927808
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,1,random,version_publish,publish,500,22363750,44727.500,22357.610,ced60009f64b590d,452831f3772fcde0,50000,50000,50000,0,true,1,54935552
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,1,clustered,version_publish,publish,500,833542,1667.084,599849.798,4f3a88340b89e492,18c13a7979b7f74e,50000,50000,50000,0,true,1,40124416
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,30,append,version_publish,publish,15000,6541541,436.103,2293037.680,2df743b909694ec7,ee687076f90b0617,65000,50000,65000,0,true,1,47841280
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,30,random,version_publish,publish,15000,26739084,1782.606,560976.584,3437751e43e9bd90,11750baaac761904,50000,50000,50000,0,true,1,59768832
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,30,clustered,version_publish,publish,15000,13347333,889.822,1123820.017,96f5788d238bc34c,9e23fa79bfbe21fc,50000,50000,50000,0,true,1,48693248
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,head_resolve,read,10000,8457917,845.792,1182324.206,37dd89b2e04325e1,27b542088e4f6ce0,10000,50000,50000,0,true,1,42876928
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,snapshot_resolve,read,2000,3652250,1826.125,547607.639,37dd89b2e04325e1,f41e50d0b02f15c0,2000,50000,50000,0,true,1,42876928
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,historical_point_read,read,100000,433106583,4331.066,230890.049,37dd89b2e04325e1,cb66713557760184,100000,50000,50000,0,true,1,42876928
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,historical_range_scan,read,150000,27269417,181.796,5500667.653,37dd89b2e04325e1,9f0179ee2ad0ac2c,150000,50000,50000,0,true,1,42876928
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,version_list,read,10000,9739625,973.962,1026733.575,37dd89b2e04325e1,3d9f342dda139fa0,10000,50000,50000,0,true,1,42876928
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,rollback,rollback,1000,3162542,3162.542,316201.334,37dd89b2e04325e1,5d2f74eb8f7fb15c,1000,50000,50000,0,true,1,38961152
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,retention_prune,prune,100,206458,2064.580,484360.015,37dd89b2e04325e1,60a31276d727706c,11,100,11,0,true,1,38633472
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,1,append,version_publish,publish,500,466541,933.082,1071717.170,749fe85e08d746cf,92f9adb9986ad6fe,50500,50000,50500,0,true,2,39878656
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,1,random,version_publish,publish,500,22684792,45369.584,22041.198,ced60009f64b590d,452831f3772fcde0,50000,50000,50000,0,true,2,54198272
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,1,clustered,version_publish,publish,500,944875,1889.750,529170.525,4f3a88340b89e492,18c13a7979b7f74e,50000,50000,50000,0,true,2,39862272
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,30,append,version_publish,publish,15000,6528292,435.219,2297691.341,2df743b909694ec7,ee687076f90b0617,65000,50000,65000,0,true,2,47349760
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,30,random,version_publish,publish,15000,26216875,1747.792,572150.571,3437751e43e9bd90,11750baaac761904,50000,50000,50000,0,true,2,59441152
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,30,clustered,version_publish,publish,15000,12535875,835.725,1196565.856,96f5788d238bc34c,9e23fa79bfbe21fc,50000,50000,50000,0,true,2,48250880
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,head_resolve,read,10000,8700000,870.000,1149425.287,37dd89b2e04325e1,27b542088e4f6ce0,10000,50000,50000,0,true,2,41320448
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,snapshot_resolve,read,2000,3704209,1852.104,539926.338,37dd89b2e04325e1,f41e50d0b02f15c0,2000,50000,50000,0,true,2,41320448
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,historical_point_read,read,100000,428529292,4285.293,233356.277,37dd89b2e04325e1,cb66713557760184,100000,50000,50000,0,true,2,41320448
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,historical_range_scan,read,150000,25221708,168.145,5947257.815,37dd89b2e04325e1,9f0179ee2ad0ac2c,150000,50000,50000,0,true,2,41320448
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,version_list,read,10000,9651292,965.129,1036130.707,37dd89b2e04325e1,3d9f342dda139fa0,10000,50000,50000,0,true,2,41320448
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,rollback,rollback,1000,3171750,3171.750,315283.361,37dd89b2e04325e1,5d2f74eb8f7fb15c,1000,50000,50000,0,true,2,38715392
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,retention_prune,prune,100,208042,2080.420,480672.172,37dd89b2e04325e1,60a31276d727706c,11,100,11,0,true,2,38518784
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,1,append,version_publish,publish,500,431125,862.250,1159756.451,749fe85e08d746cf,92f9adb9986ad6fe,50500,50000,50500,0,true,3,39682048
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,1,random,version_publish,publish,500,22402250,44804.500,22319.187,ced60009f64b590d,452831f3772fcde0,50000,50000,50000,0,true,3,52445184
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,1,clustered,version_publish,publish,500,855625,1711.250,584368.152,4f3a88340b89e492,18c13a7979b7f74e,50000,50000,50000,0,true,3,40632320
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,30,append,version_publish,publish,15000,8050042,536.669,1863344.315,2df743b909694ec7,ee687076f90b0617,65000,50000,65000,0,true,3,45137920
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,30,random,version_publish,publish,15000,27915000,1861.000,537345.513,3437751e43e9bd90,11750baaac761904,50000,50000,50000,0,true,3,59752448
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,30,clustered,version_publish,publish,15000,13758250,917.217,1090254.938,96f5788d238bc34c,9e23fa79bfbe21fc,50000,50000,50000,0,true,3,48955392
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,head_resolve,read,10000,8291833,829.183,1206005.958,37dd89b2e04325e1,27b542088e4f6ce0,10000,50000,50000,0,true,3,41582592
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,snapshot_resolve,read,2000,3720625,1860.312,537544.095,37dd89b2e04325e1,f41e50d0b02f15c0,2000,50000,50000,0,true,3,41582592
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,historical_point_read,read,100000,429987000,4299.870,232565.171,37dd89b2e04325e1,cb66713557760184,100000,50000,50000,0,true,3,41582592
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,historical_range_scan,read,150000,25471583,169.811,5888915.502,37dd89b2e04325e1,9f0179ee2ad0ac2c,150000,50000,50000,0,true,3,41582592
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,version_list,read,10000,9816166,981.617,1018727.678,37dd89b2e04325e1,3d9f342dda139fa0,10000,50000,50000,0,true,3,41582592
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,rollback,rollback,1000,2974583,2974.583,336181.576,37dd89b2e04325e1,5d2f74eb8f7fb15c,1000,50000,50000,0,true,3,38649856
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,50000,0,none,retention_prune,prune,100,191125,1911.250,523217.789,37dd89b2e04325e1,60a31276d727706c,11,100,11,0,true,3,38699008
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,1000000,1,append,version_publish,publish,10000,4727042,472.704,2115487.867,140227203d0d4a0c,02bc567cb31a087e,1010000,1000000,1010000,0,true,1,571572224
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,1000000,1,random,version_publish,publish,10000,498097792,49809.779,20076.379,4f5772e80f04e6f8,880c3d7c9c21aa69,1000000,1000000,1000000,0,true,1,906444800
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,1000000,1,clustered,version_publish,publish,10000,11575542,1157.554,863890.434,68d8506266537ca2,1c0ae14b10c9ea65,1000000,1000000,1000000,0,true,1,589266944
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,1000000,30,append,version_publish,publish,300000,128022000,426.740,2343347.237,236b850712e2d644,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,733069312
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,1000000,30,random,version_publish,publish,300000,573315708,1911.052,523271.900,d06c098a7e3fe949,52861eca8735cd56,1000000,1000000,1000000,0,true,1,1033060352
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,1000000,30,clustered,version_publish,publish,300000,262390500,874.635,1143334.077,6c39b0f5083c1cfa,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,792920064
