suite,target,records,api,pattern,pairs,samples_per_revision_pair,baseline_median_ns,candidate_median_ns,median_latency_change_pct,baseline_throughput,candidate_throughput,throughput_change_pct,baseline_p50_ns,candidate_p50_ns,p50_change_pct,baseline_p95_ns,candidate_p95_ns,p95_change_pct,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns
sqlite-turso,sqlite-sync,10000,batch,append,20,1,177104.0,178479.0,0.7763799801246726,564644.8720023661,560304.1271117057,-0.768756630210255,177104.0,178479.0,0.7763799801246726,344916.5,350354.5,1.5766134702167047,0.3391977480647431,645.5,-0.33674782518715096,0.3391977480647431,645.5,-1.7213828741248325,-5604.5
sqlite-turso,sqlite-sync,10000,batch,clustered,20,1,376395.5,360000.0,-4.355923490052352,265678.0890770521,277788.62889609404,4.558350995790873,376395.5,360000.0,-4.355923490052352,553958.0,525458.5,-5.1447041111419995,-4.131985774530767,-15167.0,4.310852023545255,-4.131985774530767,-15167.0,-4.406940980199558,-21645.5
sqlite-turso,sqlite-sync,10000,batch,random,20,1,3899875.0,3841312.5,-1.5016506939324978,25642.179933759355,26032.768919951537,1.5232284743386824,3899875.0,3841312.5,-1.5016506939324978,10672000.0,10529500.0,-1.3352698650674664,-0.06922625468779249,-2625.5,0.06928080635435588,-0.06922625468779249,-2625.5,-0.4093112893705293,-41853.5
sqlite-turso,sqlite-sync,10000,diff,append,20,1,70999.5,71979.0,1.37958718019141,1408461.1041675098,1389303.4767716443,-1.3601815015821033,70999.5,71979.0,1.37958718019141,94292.0,104229.0,10.538539854918763,-0.6254226647778105,-458.5,0.6315163182456609,-0.6254226647778105,-458.5,0.6386251435787039,708.5
sqlite-turso,sqlite-sync,10000,diff,clustered,20,1,206833.5,207250.0,0.20136970074963678,483480.9873728815,482510.2927231373,-0.2007720417339917,206833.5,207250.0,0.20136970074963678,250062.5,250750.0,0.2749312671832042,-0.5510577594626002,-1145.5,0.5543358714797318,-0.5510577594626002,-1145.5,1.537377542867321,3416.5
sqlite-turso,sqlite-sync,10000,diff,random,20,1,2522646.0,2537584.0,0.5921560139631166,39645.45125166167,39407.56715435652,-0.6000287291349164,2522646.0,2537584.0,0.5921560139631166,3092229.0,3075354.5,-0.5457066730827503,1.6957276013815443,46061.5,-1.6663674666478236,1.6957276013815443,46061.5,3.179818821596214,86646.0
sqlite-turso,sqlite-sync,10000,merge,append,20,1,285520.5,287166.5,0.5764910050241576,700475.1307990436,696462.1832138344,-0.5728893730504779,285520.5,287166.5,0.5764910050241576,395229.0,426062.0,7.801300005819412,0.4732381376018192,1354.0,-0.47100878007447133,0.4732381376018192,1354.0,3.5370692228248526,13271.0
sqlite-turso,sqlite-sync,10000,merge,clustered,20,1,144437.5,144875.0,0.3028991778450887,1384681.9837564304,1380500.4314063848,-0.3019864776966142,144437.5,144875.0,0.3028991778450887,188208.0,169896.0,-9.729660800816118,2.6016240721813277,4375.0,-2.5321671286315635,2.6016240721813277,4375.0,-2.9430360252614536,-4728.5
sqlite-turso,sqlite-sync,10000,merge,random,20,1,5193333.5,5183896.0,-0.181723357454321,38510.910905750745,38581.02167852844,0.18205430910030362,5193333.5,5183896.0,-0.181723357454321,5646770.5,5719604.5,1.2898346054616527,-0.29327766840039277,-15229.0,0.2943948853318165,-0.29327766840039277,-15229.0,0.6202323992659454,34395.5
sqlite-turso,sqlite-sync,10000,put,append,20,1,18301854.5,18187916.5,-0.6225489334974224,5464.0427828208485,5498.437143639589,0.6294672678419948,100583.0,101396.0,0.8082876828092223,148604.0,150479.5,1.2620790826626471,0.1894825551228831,35479.5,-0.188932575301468,-0.16958443734409834,-167.0,0.5784644801008254,854.5
