suite,revision_role,pair,schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,put,append,100,100,35211750,2839.961092533032,305542,553958,1486166,5676166,515008,32021080,10100,10100,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,put,random,100,100,140647708,710.9963000605741,1230250,2232125,3943084,18756750,515008,54928032,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,put,random,100,100,49784083,2008.6741378765578,414750,838083,2118042,8704667,515008,54928032,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,put,clustered,100,100,84458958,1184.0070297812579,799333,1166292,1893292,8455583,515008,25960200,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,put,clustered,100,100,25830625,3871.3736117496187,213542,424916,1134417,2977125,515008,25960200,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,batch,append,100,100,1299250,76967.48123917644,1299250,1687666,2398958,2398958,515008,1590328,10100,10100,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,batch,append,100,100,1328750,75258.70178739417,1328750,1819708,2218583,2218583,515008,1590328,10100,10100,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,batch,random,100,100,7526458,13286.462237615622,7526458,10755875,11281208,11281208,515008,13533376,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,batch,random,100,100,7789958,12837.039686221671,7789958,9946167,11505875,11505875,515008,13533376,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,batch,clustered,100,100,2496500,40056.07850991388,2496500,2795250,2857500,2857500,515008,2121808,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,batch,clustered,100,100,2587833,38642.36989017452,2587833,2891125,2975583,2975583,515008,2121808,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,diff,append,100,100,749916,133348.26833938734,749916,980542,1112500,1112500,515008,560328,10100,10100,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,diff,append,100,100,747625,133756.8968399933,747625,974584,1068208,1068208,515008,560328,10100,10100,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,diff,random,100,100,6787208,14733.598852429453,6787208,7873750,8107625,8107625,515008,955848,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,diff,random,100,100,6915791,14459.661953347057,6915791,8027916,8289667,8289667,515008,955848,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,diff,clustered,100,100,657791,152023.97113976933,657791,911334,986417,986417,515008,572688,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,diff,clustered,100,100,858625,116465.2787887611,858625,1014458,1022083,1022083,515008,572688,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,merge,append,100,200,3361000,59506.09937518596,3361000,4869541,4948042,4948042,515008,638608,10200,10200,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,merge,append,100,200,2858792,69959.61930773557,2858792,3423375,3541042,3541042,515008,638608,10200,10200,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,merge,random,100,200,12699125,15749.116572992234,12699125,13469875,14304292,14304292,515008,1775728,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,merge,random,100,200,13433625,14888.014218053579,13433625,14803750,15726917,15726917,515008,1775728,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,merge,clustered,100,200,1703083,117434.08864981918,1703083,1899709,2448875,2448875,515008,622128,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,merge,clustered,100,200,1593750,125490.19607843137,1593750,1881667,1939750,1939750,515008,622128,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,put,append,100,100,18934417,5281.387855776072,102542,145625,291458,11406833,483328,42962736,10100,10100,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,put,append,100,100,18872458,5298.726853703954,102125,145000,309500,11618791,483328,42962736,10100,10100,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,put,random,100,100,24697042,4049.0679005202323,146750,244042,5740250,12578542,483328,67166072,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,put,random,100,100,24727584,4044.066739395163,141666,235750,5602917,13138041,483328,67166072,10000,10000,true,
