revision,adapter,records,changes,api,pattern,run,total_ns,operations_per_sec,p50_ns,p95_ns,root,node_count,byte_count,value_valid,count_valid,root_valid,reopen_valid
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,clustered,1,11243750,26681489.71650917,11243750,11243750,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,append,2,54090417,2773134.472230081,54090417,54090417,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,append,2,50330750,2980285.4119996224,50330750,50330750,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,random,2,215773042,695174.8865829124,215773042,215773042,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,random,2,236616875,633936.1890397716,236616875,236616875,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,clustered,2,66505416,2255455.4053161624,66505416,66505416,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,clustered,2,60817334,2466402.0951658287,60817334,60817334,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,append,2,363272750,2752752.5805334975,363272750,363272750,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,append,2,367973375,2717587.9233110277,367973375,367973375,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,random,2,691191583,1446776.8772004852,691191583,691191583,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,random,2,716302833,1396057.5805791907,716302833,716302833,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,clustered,2,420193084,2379858.303427003,420193084,420193084,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,clustered,2,427826459,2337396.341351576,427826459,427826459,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,append,2,17987750,8339008.491890314,17987750,17987750,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,append,2,19706583,7611669.663888458,19706583,19706583,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,random,2,105747250,1418476.6034104906,105747250,105747250,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,random,2,104847417,1430650.4088698723,104847417,104847417,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,clustered,2,23059667,6504864.098861446,23059667,23059667,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,clustered,2,23515000,6378907.080586859,23515000,23515000,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,append,2,85707167,3500290.704976866,85707167,85707167,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,append,2,83583875,3589209.0430121836,83583875,83583875,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,random,2,779072083,385073.482346819,779072083,779072083,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,random,2,763432750,392961.92100744956,763432750,763432750,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,clustered,2,10999875,27273037.193604473,10999875,10999875,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,clustered,2,11513000,26057500.217145834,11513000,11513000,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,append,3,49352667,3039349.423608657,49352667,49352667,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,append,3,54924625,2731015.459823349,54924625,54924625,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,random,3,231105250,649054.9219457369,231105250,231105250,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,random,3,209082542,717420.0130013725,209082542,209082542,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,clustered,3,63940917,2345915.683380018,63940917,63940917,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,clustered,3,70189708,2137065.4512482085,70189708,70189708,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,append,3,367113209,2723955.3780261828,367113209,367113209,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,append,3,346711959,2884238.556074727,346711959,346711959,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,random,3,800219584,1249656.994148246,800219584,800219584,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,random,3,730597500,1368742.7071677633,730597500,730597500,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,clustered,3,435395875,2296760.3907593293,435395875,435395875,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,clustered,3,438750375,2279200.331167808,438750375,438750375,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,append,3,18125625,8275576.704251578,18125625,18125625,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,append,3,18544834,8088505.941870389,18544834,18544834,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,random,3,108330709,1384648.9272030888,108330709,108330709,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,random,3,105387583,1423317.5838181998,105387583,105387583,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,clustered,3,23386333,6414002.571501912,23386333,23386333,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,clustered,3,22762250,6589858.208217553,22762250,22762250,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,append,3,85189084,3521577.9524052637,85189084,85189084,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,append,3,87160833,3441912.951887461,87160833,87160833,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,random,3,772181417,388509.7379907551,772181417,772181417,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,random,3,777701583,385752.07580617716,777701583,777701583,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,clustered,3,11283750,26586905.948820204,11283750,11283750,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,clustered,3,10930833,27445300.829314657,10930833,10930833,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,append,4,53212750,2818873.2963434514,53212750,53212750,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,append,4,59141250,2536300.805275506,59141250,59141250,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,random,4,210249291,713438.7910968033,210249291,210249291,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,random,4,234915458,638527.584676867,234915458,234915458,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,clustered,4,64225291,2335528.538126826,64225291,64225291,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,clustered,4,60677458,2472087.7397335926,60677458,60677458,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,append,4,342168917,2922533.141723098,342168917,342168917,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,append,4,356872834,2802118.583226203,356872834,356872834,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,random,4,733344916,1363614.8259600126,733344916,733344916,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
