suite,target,records,api,pattern,pairs,samples_per_revision_pair,baseline_median_ns,candidate_median_ns,median_latency_change_pct,baseline_throughput,candidate_throughput,throughput_change_pct,baseline_p50_ns,candidate_p50_ns,p50_change_pct,baseline_p95_ns,candidate_p95_ns,p95_change_pct,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns
foundation,async_over_sync,10000,batch,,20,1,297917.0,296291.5,-0.5456217671364844,3356.6395,3375.055,0.5486290678519278,297917.0,296291.5,-0.5456217671364844,344458.0,342458.5,-0.580477155415174,0.0417469774975415,125.0,-0.04122337293259237,0.0417469774975415,125.0,-0.25434539650132426,-916.5
foundation,async_over_sync,10000,build,,20,1,47187.5,48125.0,1.9867549668874174,2119205.698,2077928.2585,-1.947778808775167,47187.5,48125.0,1.9867549668874174,59146.0,58396.5,-1.2672031921009028,0.34972282853701675,167.0,-0.34850357240108315,0.34972282853701675,167.0,2.343034423486462,1396.0
foundation,async_over_sync,10000,delete,,20,1,107042.0,105792.0,-1.167765923656135,9342.128499999999,9452.604,1.1825517064981548,107042.0,105792.0,-1.167765923656135,126000.0,124750.0,-0.992063492063492,-0.9982792506135839,-1041.5,1.0086062560778546,-0.9982792506135839,-1041.5,-2.4583530133835936,-3062.5
foundation,async_over_sync,10000,forward,,20,1,75833.0,78083.5,2.967705352551,13503360.201,13114181.241500001,-2.8820897443821214,75833.0,78083.5,2.967705352551,89729.0,93729.5,4.458424812490945,1.9081796059837381,1437.5,-1.8715806661346543,1.9081796059837381,1437.5,4.192474134848954,3771.0
foundation,async_over_sync,10000,merge,,20,1,280541.5,280646.0,0.037249390910079255,7129.0715,7126.416499999999,-0.03724187644913724,280541.5,280646.0,0.037249390910079255,323874.5,326416.5,0.7848719179805758,0.29235365178867595,812.5,-0.29147126182056243,0.29235365178867595,812.5,0.5810122173864454,1875.5
foundation,async_over_sync,10000,put,,20,1,243229.5,241729.0,-0.6169070774720994,4111.3435,4136.9315,0.6223756297667596,243229.5,241729.0,-0.6169070774720994,279979.0,280667.0,0.24573271566796082,-0.3452770151828025,-833.0,0.3474556240986809,-0.3452770151828025,-833.0,-0.5436173580436854,-1500.0
foundation,async_over_sync,10000,range-delete,,20,1,391916.5,386291.5,-1.435254703489136,255158.818,258871.865,1.4551905472457516,391916.5,386291.5,-1.435254703489136,452875.0,443813.0,-2.0009936516698867,-0.6815842628676296,-2666.0,0.6862952796359671,-0.6815842628676296,-2666.0,-1.184591703120739,-5375.5
foundation,native_async,10000,batch,,20,1,295208.5,297895.5,0.9102041438508716,3387.4404999999997,3356.8819999999996,-0.9021117861701216,295208.5,297895.5,0.9102041438508716,342812.5,341021.0,-0.5225888787602553,0.04291904667222417,125.5,-0.04286873782571153,0.04291904667222417,125.5,-0.5240277619389657,-1792.0
foundation,native_async,10000,build,,20,1,47375.0,47604.5,0.4844327176781003,2110832.637,2100645.367,-0.48261855636639084,47375.0,47604.5,0.4844327176781003,58250.0,58604.5,0.6085836909871245,0.3092302835846914,146.0,-0.30825763529659445,0.3092302835846914,146.0,1.312221627339899,750.0
foundation,native_async,10000,delete,,20,1,105521.0,105833.5,0.2961495815998711,9476.8495,9449.0515,-0.2933253292668696,105521.0,105833.5,0.2961495815998711,125021.5,125020.5,-0.0007998624236631299,-0.47679218444155236,-500.0,0.4790765591672449,-0.47679218444155236,-500.0,0.8812879693453166,1104.0
foundation,native_async,10000,forward,,20,1,78437.5,80271.0,2.3375298804780877,13054980.9715,12757508.694,-2.2786113449679024,78437.5,80271.0,2.3375298804780877,91541.5,96208.5,5.098234134245123,4.053763738569426,3124.5,-3.895065897448702,4.053763738569426,3124.5,3.357244581615133,3042.5
