records,operation,pattern,cache_state,repetitions,latency_median_ns,latency_min_ns,latency_max_ns,ns_per_op_median,ops_per_sec_median,nodes_read_median,nodes_written_median,bytes_read_median,bytes_written_median,cache_hits_median,cache_misses_median,pg_calls_median,pg_execution_ms_median,pg_shared_blks_hit_median,pg_shared_blks_read_median,pg_wal_bytes_median,tree_records_median,tree_nodes_median,tree_height_median,tree_bytes_median,table_bytes_after_median,index_bytes_after_median
10000000,batch,random,cold-manager,3,2484214583,2425600125,2584166583,248421.4583,4025.417155358515,9413.0,9413.0,68982704.0,68982704.0,0.0,9413.0,165.0,705.8539130000001,136773.0,2345.0,17376211.0,10000000.0,76974.0,3.0,316614779.0,107962368.0,6832128.0
10000000,build,base,cold-manager,1,8724540709,8724540709,8724540709,872.4540709,1146192.1416315096,0.0,76974.0,0.0,316614779.0,0.0,0.0,76.0,2837.645170999999,640387.0,8.0,98447935.0,10000000.0,76974.0,3.0,316614779.0,91275264.0,6086656.0
10000000,concurrent_query,random,cold-manager,3,2030184792,2012252000,2042856625,203018.4792,4925.659988886371,9479.0,0.0,70248319.0,0.0,30521.0,9479.0,9479.0,353.97906499999937,43582.0,0.0,0.0,10000000.0,76974.0,3.0,316614779.0,90898432.0,5791744.0
10000000,diff,random,cold-manager,3,1800253084,1797458750,1848361416,180025.3084,5554.77454191102,18848.0,0.0,138920134.0,0.0,18766.0,18848.0,4699.0,434.7676949999992,85758.0,0.0,0.0,10000000.0,76974.0,3.0,316614779.0,108068864.0,6881280.0
10000000,merge,random,cold-manager,3,4398450208,4375253583,4462777917,439845.0208,2273.5280671841583,16896.0,5503.0,128638788.0,41883265.0,17155.0,16896.0,3163.0,689.2016719999993,151606.0,3.0,11610913.0,10000000.0,76974.0,3.0,316614779.0,124248064.0,7233536.0
10000000,query,random,cold-manager,3,621446375,600637000,668383000,62144.6375,16091.493010961725,9397.0,0.0,69793977.0,0.0,0.0,9397.0,12.0,148.323831,40493.0,2556.0,0.0,10000000.0,76974.0,3.0,316614779.0,91168768.0,5955584.0
