schema,revision,dirty,adapter,records,repetition,build_ns,records_per_sec,database_bytes,observed_records,validated,error
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,1,12063708,828932.5305287562,483328,10000,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,1,11895958,840621.6632573854,515008,10000,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,2,9545250,1047641.4970796993,515008,10000,true,
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,2,5680417,1760434.1371416922,483328,10000,true,
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,3,5537333,1805923.5375586045,483328,10000,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,3,9712458,1029605.4819490596,515008,10000,true,
