schema,records,api,pattern,repetitions,configured_changes,sqlite_latency_median_ns,sqlite_latency_min_ns,sqlite_latency_max_ns,sqlite_throughput_median_ops_sec,sqlite_throughput_min_ops_sec,sqlite_throughput_max_ops_sec,sqlite_p50_ns_median,sqlite_p95_ns_median,sqlite_p99_ns_median,sqlite_max_ns_median,turso_latency_median_ns,turso_latency_min_ns,turso_latency_max_ns,turso_throughput_median_ops_sec,turso_throughput_min_ops_sec,turso_throughput_max_ops_sec,turso_p50_ns_median,turso_p95_ns_median,turso_p99_ns_median,turso_max_ns_median,turso_over_sqlite_latency_ratio,turso_over_sqlite_throughput_ratio
sqlite-turso-local-v1,10000,put,append,3,100,39179709.0,39019291,52488042,2552.3415704797603,1905.1958539432658,2562.8348808285623,343709.0,450083.0,1378042.0,3660125.0,95176500.0,92443834,101839625,1050.679526984077,981.9360587786924,1081.7379123414548,916791.0,1129958.0,1304542.0,1594084.0,2.429229374827669,0.4116531811949379
sqlite-turso-local-v1,10000,put,clustered,3,100,38059916.0,37459500,39114667,2627.4361719558183,2556.5857431433583,2669.5497804295305,347708.0,628083.0,811125.0,1076834.0,99580167.0,97795167,100878750,1004.2160302864324,991.2890474951365,1022.5454188344502,921000.0,1272500.0,1849000.0,2034792.0,2.616405327852011,0.38220377758555074
sqlite-turso-local-v1,10000,put,random,3,100,60812250.0,60566542,65130167,1644.4055268469758,1535.386820058361,1651.0765960519918,603542.0,798834.0,1329209.0,4177875.0,129242500.0,128760833,139756792,773.7392885467242,715.5287307968546,776.6336833189018,1246000.0,1701542.0,2371666.0,2627458.0,2.1252708130352027,0.4705282704992553
