profile,records,workload,runs,operations,original_total_ns,current_total_ns,latency_delta_pct,latency_class,original_min_ns,original_max_ns,current_min_ns,current_max_ns,original_ns_per_op,current_ns_per_op,original_ops_per_sec,current_ops_per_sec,original_peak_rss,current_peak_rss,rss_delta_pct,memory_regression,original_fixture_bytes,current_fixture_bytes,fixture_delta_pct,size_regression,original_nodes_read,current_nodes_read,original_nodes_written,current_nodes_written,original_bytes_read,current_bytes_read,original_bytes_written,current_bytes_written,io_regression,original_tree_bytes,current_tree_bytes,original_node_payload,current_node_payload,original_num_nodes,current_num_nodes,original_height,current_height,original_entries,current_entries
full,1000000,clustered_batch_deletes,5,10000,66855875,22360625,-66.554,material gain,64057959,76531334,18601583,225704666,6685.587,2236.062,149575.486,447214.691,216186880,194478080,-10.042,false,46628864,46837760,0.448,false,39,9,4,3,459956,95136,46083,23911,false,40985344,41164194,41445300,41604488,3615,3606,2,2,990000,990000
full,1000000,sorted_stream_build,5,1000000,778301458,738674167,-5.092,material gain,747660167,825889375,721425375,796848208,778.301,738.674,1284849.193,1353776.868,210829312,197361664,-6.388,false,46571520,46813184,0.519,false,0,0,0,0,0,0,0,0,false,41399217,41580577,41399217,41580577,3650,3647,2,2,1000000,1000000
full,10000000,clustered_batch_deletes,5,10000,114712583,44029458,-61.618,noise-sensitive,98178000,697331958,42627125,521565333,11471.258,4402.946,87174.395,227120.670,2035564544,1877852160,-7.748,false,466632704,468652032,0.433,false,37,10,4,4,432979,127828,19251,52518,true,413587853,415410109,414020832,415878888,36580,36591,2,2,9990000,9990000
full,10000000,sorted_stream_build,5,10000000,9407485708,9753201792,3.675,noise-sensitive,9161081625,10503264708,9028088125,10295505750,940.749,975.320,1062983.278,1025304.327,2028945408,1882587136,-7.214,false,466608128,468590592,0.425,false,0,0,0,0,0,0,0,0,false,414001581,415826370,414001581,415826370,36613,36631,2,2,10000000,10000000
normal,1000000,clustered_batch_deletes,5,10000,66817167,21535417,-67.770,material gain,62174583,68066792,19410959,21758584,6681.717,2153.542,149662.137,464351.352,215613440,194215936,-9.924,false,46628864,46837760,0.448,false,39,9,4,3,459956,95136,46083,23911,false,40985344,41164194,41445300,41604488,3615,3606,2,2,990000,990000
normal,1000000,sorted_stream_build,5,1000000,772213250,741832334,-3.934,noise-sensitive,748882958,1095967375,717198833,1016580709,772.213,741.832,1294979.075,1348013.499,215891968,199622656,-7.536,false,46571520,46813184,0.519,false,0,0,0,0,0,0,0,0,false,41399217,41580577,41399217,41580577,3650,3647,2,2,1000000,1000000
normal,10000000,clustered_batch_deletes,5,10000,97504500,43066625,-55.831,material gain,92012875,103797167,42063583,48597958,9750.450,4306.663,102559.369,232198.367,2035351552,1880064000,-7.630,false,466632704,468652032,0.433,false,37,10,4,4,432979,127828,19251,52518,true,413587853,415410109,414020832,415878888,36580,36591,2,2,9990000,9990000
normal,10000000,sorted_stream_build,5,10000000,9461495209,9387922916,-0.778,noise-sensitive,9230891500,9471254500,9086400667,13140688292,946.150,938.792,1056915.401,1065198.350,2029223936,1883619328,-7.175,false,466608128,468590592,0.425,false,0,0,0,0,0,0,0,0,false,414001581,415826370,414001581,415826370,36613,36631,2,2,10000000,10000000
