version,profile,records,run,workload,operations,total_ns,ns_per_op,ops_per_sec,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,db_bytes_before,db_bytes_after,wal_bytes_after,shm_bytes_after,fixture_bytes_after,sqlite_node_count,sqlite_node_payload_bytes,validated,status
original,full,10000000,2,sorted_stream_build,10000000,10503264708,1050.326,952084.926,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,2,clustered_batch_deletes,10000,114712583,11471.258,87174.395,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
original,full,1000000,3,sorted_stream_build,1000000,778301458,778.301,1284849.193,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,3,clustered_batch_deletes,10000,69450459,6945.046,143987.529,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,3,sorted_stream_build,1000000,738674167,738.674,1353776.868,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,3,clustered_batch_deletes,10000,225704666,22570.467,44305.686,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,3,sorted_stream_build,1000000,778245084,778.245,1284942.264,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,3,clustered_batch_deletes,10000,67224459,6722.446,148755.381,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,1000000,3,sorted_stream_build,1000000,741832334,741.832,1348013.499,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,3,clustered_batch_deletes,10000,19410959,1941.096,515172.898,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,10000000,3,sorted_stream_build,10000000,9674590250,967.459,1033635.507,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,3,clustered_batch_deletes,10000,697331958,69733.196,14340.372,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,3,sorted_stream_build,10000000,9183142125,918.314,1088951.893,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,3,clustered_batch_deletes,10000,42627125,4262.712,234592.410,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,3,sorted_stream_build,10000000,9230891500,923.089,1083318.984,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,3,clustered_batch_deletes,10000,93490792,9349.079,106962.405,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,normal,10000000,3,sorted_stream_build,10000000,9363382667,936.338,1067990.101,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,3,clustered_batch_deletes,10000,43066625,4306.663,232198.367,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
current,normal,1000000,4,sorted_stream_build,1000000,717198833,717.199,1394313.479,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,4,clustered_batch_deletes,10000,21725250,2172.525,460293.898,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,4,sorted_stream_build,1000000,751943250,751.943,1329887.595,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,4,clustered_batch_deletes,10000,66817167,6681.717,149662.137,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,4,sorted_stream_build,1000000,721425375,721.425,1386144.755,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,4,clustered_batch_deletes,10000,22854625,2285.463,437548.199,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,1000000,4,sorted_stream_build,1000000,751640417,751.640,1330423.401,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,4,clustered_batch_deletes,10000,64057959,6405.796,156108.627,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,10000000,4,sorted_stream_build,10000000,9086400667,908.640,1100545.790,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,4,clustered_batch_deletes,10000,42976000,4297.600,232688.012,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,4,sorted_stream_build,10000000,9296973458,929.697,1075618.861,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,4,clustered_batch_deletes,10000,92012875,9201.288,108680.443,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,4,sorted_stream_build,10000000,9028088125,902.809,1107654.230,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,4,clustered_batch_deletes,10000,43607834,4360.783,229316.595,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,full,10000000,4,sorted_stream_build,10000000,9161081625,916.108,1091574.162,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,4,clustered_batch_deletes,10000,98178000,9817.800,101855.813,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
original,full,1000000,5,sorted_stream_build,1000000,747660167,747.660,1337506.054,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,5,clustered_batch_deletes,10000,65779000,6577.900,152024.202,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,5,sorted_stream_build,1000000,735192792,735.193,1360187.438,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,5,clustered_batch_deletes,10000,19786334,1978.633,505399.333,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,5,sorted_stream_build,1000000,748882958,748.883,1335322.148,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,5,clustered_batch_deletes,10000,62174583,6217.458,160837.428,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,1000000,5,sorted_stream_build,1000000,723866125,723.866,1381470.918,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,5,clustered_batch_deletes,10000,21232541,2123.254,470975.189,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,10000000,5,sorted_stream_build,10000000,9407485708,940.749,1062983.278,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,5,clustered_batch_deletes,10000,104253667,10425.367,95919.887,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,5,sorted_stream_build,10000000,9753201792,975.320,1025304.327,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,5,clustered_batch_deletes,10000,323569042,32356.904,30905.305,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,5,sorted_stream_build,10000000,9461495209,946.150,1056915.401,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,5,clustered_batch_deletes,10000,97504500,9750.450,102559.369,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,normal,10000000,5,sorted_stream_build,10000000,9387922916,938.792,1065198.350,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,5,clustered_batch_deletes,10000,42063583,4206.358,237735.335,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
