version,profile,records,run,workload,operations,total_ns,ns_per_op,ops_per_sec,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,db_bytes_before,db_bytes_after,wal_bytes_after,shm_bytes_after,fixture_bytes_after,sqlite_node_count,sqlite_node_payload_bytes,validated,status
original,full,10000000,2,sorted_stream_build,10000000,10194224208,1019.422,980947.622,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,2,clustered_batch_deletes,10000,115640209,11564.021,86475.112,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
original,full,1000000,3,sorted_stream_build,1000000,851683500,851.683,1174145.090,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,3,clustered_batch_deletes,10000,87580500,8758.050,114180.668,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,3,sorted_stream_build,1000000,866591792,866.592,1153945.848,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,3,clustered_batch_deletes,10000,21361459,2136.146,468132.818,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,3,sorted_stream_build,1000000,842266166,842.266,1187273.145,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,3,clustered_batch_deletes,10000,73304583,7330.458,136417.119,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,1000000,3,sorted_stream_build,1000000,822221959,822.222,1216216.606,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,3,clustered_batch_deletes,10000,24409209,2440.921,409681.444,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,10000000,3,sorted_stream_build,10000000,10354337125,1035.434,965778.869,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,3,clustered_batch_deletes,10000,125526750,12552.675,79664.295,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,3,sorted_stream_build,10000000,10138403833,1013.840,986348.558,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,3,clustered_batch_deletes,10000,50818792,5081.879,196777.601,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,3,sorted_stream_build,10000000,10471961834,1047.196,954930.906,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,3,clustered_batch_deletes,10000,124758292,12475.829,80154.993,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,normal,10000000,3,sorted_stream_build,10000000,10356925708,1035.693,965537.485,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,3,clustered_batch_deletes,10000,53468375,5346.837,187026.443,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
current,normal,1000000,4,sorted_stream_build,1000000,832323084,832.323,1201456.525,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,4,clustered_batch_deletes,10000,28266417,2826.642,353776.710,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,4,sorted_stream_build,1000000,856174375,856.174,1167986.370,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,4,clustered_batch_deletes,10000,85727042,8572.704,116649.307,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,4,sorted_stream_build,1000000,810133083,810.133,1234365.095,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,4,clustered_batch_deletes,10000,25147166,2514.717,397659.124,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,1000000,4,sorted_stream_build,1000000,835890125,835.890,1196329.482,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,4,clustered_batch_deletes,10000,74705083,7470.508,133859.700,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,10000000,4,sorted_stream_build,10000000,10252892667,1025.289,975334.506,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,4,clustered_batch_deletes,10000,54749084,5474.908,182651.458,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,4,sorted_stream_build,10000000,10521803459,1052.180,950407.412,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,4,clustered_batch_deletes,10000,120645000,12064.500,82887.811,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,4,sorted_stream_build,10000000,10478818750,1047.882,954306.038,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,4,clustered_batch_deletes,10000,63949250,6394.925,156374.000,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,full,10000000,4,sorted_stream_build,10000000,10500453917,1050.045,952339.783,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,4,clustered_batch_deletes,10000,121535166,12153.517,82280.712,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
original,full,1000000,5,sorted_stream_build,1000000,836029792,836.030,1196129.623,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,5,clustered_batch_deletes,10000,81884334,8188.433,122123.482,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,5,sorted_stream_build,1000000,845448791,845.449,1182803.749,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,5,clustered_batch_deletes,10000,27830792,2783.079,359314.244,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,5,sorted_stream_build,1000000,839891125,839.891,1190630.512,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,5,clustered_batch_deletes,10000,76152292,7615.229,131315.811,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,1000000,5,sorted_stream_build,1000000,820200000,820.200,1219214.826,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,5,clustered_batch_deletes,10000,23096250,2309.625,432970.720,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,10000000,5,sorted_stream_build,10000000,10590134416,1059.013,944275.078,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,5,clustered_batch_deletes,10000,127237500,12723.750,78593.182,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,5,sorted_stream_build,10000000,10407159666,1040.716,960876.966,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,5,clustered_batch_deletes,10000,56347666,5634.767,177469.640,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,5,sorted_stream_build,10000000,10521386417,1052.139,950445.084,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,5,clustered_batch_deletes,10000,128987750,12898.775,77526.742,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,normal,10000000,5,sorted_stream_build,10000000,10371807083,1037.181,964152.141,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,5,clustered_batch_deletes,10000,226512666,22651.267,44147.642,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
