operation,logical_operations,repetitions,postgres_median_ms,postgres_ops_per_sec,postgres_min_ms,postgres_max_ms,postgres_mad_ms,postgres_cv,dynamodb_median_ms,dynamodb_ops_per_sec,dynamodb_min_ms,dynamodb_max_ms,dynamodb_mad_ms,dynamodb_cv,dynamodb_to_postgres_latency,ratio_ci_low,ratio_ci_high,winner
build,10000000,7,10283.301791,972450.3085917456,10065.359375,24789.198333,217.942416,0.4256192890450028,9107.587375,1097985.6232232964,8861.988791,11895.987,156.3365,0.1114214662384648,0.8856676153345036,0.7440058341095811,0.9169567459677793,dynamo_db_local
batch,10000,7,3182.984417,3141.7056101786125,3125.890708,4117.291084,23.514876,0.11890908463465642,3519.618917,2841.2166873235383,3410.270833,3632.419083,80.417625,0.02492788800839535,1.1057606497229673,0.8942315269352279,1.1278112841957495,inconclusive
query,10000,7,627.591167,15933.940000783981,590.578667,718.740166,30.874167,0.07116325793146712,894.580625,11178.422291450812,882.248,1109.225833,7.770584,0.09015669286592097,1.4254194004613834,1.3878746571098732,1.6369555568217429,postgres
concurrent_query,10000,7,3446.968,2901.1003293329095,3351.568375,4229.294667,95.399625,0.09340397384489194,1928.1305,5186.370943253063,1877.76275,2207.008958,39.046292,0.07189688649001758,0.5593700028546827,0.48111396173806487,0.6361104527225085,dynamo_db_local
diff,10000,7,1832.301458,5457.617225778576,1754.549,2016.213416,39.6865,0.04770526194707399,2384.857167,4193.123235375714,2293.198625,8742.761667,44.309666,0.7364907787446827,1.3015637555640693,1.229107198669277,1.3795599304227748,postgres
merge,10000,7,5094.243292,1963.0000820149287,4974.306458,5583.981709,69.981,0.04019791588682747,5301.376709,1886.3024736618468,5154.952209,6229.975,113.935834,0.06921358321678846,1.0406602914559033,1.0099143816464684,1.104841095759595,inconclusive
