implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,append,write,15000,17198666,1146.578,872160.666,3c499f1c4facc286,65000,true,3
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,append,point_read,65000,32086333,493.636,2025784.623,3c499f1c4facc286,65000,true,3
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,append,range_scan,65000,1380917,21.245,47070171.487,3c499f1c4facc286,65000,true,3
rust,b087770d79b5+src.b85a0408b624,50000,mutation,append,write,15000,4185458,279.031,3583837.181,3c499f1c4facc286,65000,true,3
rust,b087770d79b5+src.b85a0408b624,50000,mutation,append,point_read,65000,7340375,112.929,8855133.423,3c499f1c4facc286,65000,true,3
rust,b087770d79b5+src.b85a0408b624,50000,mutation,append,range_scan,65000,338083,5.201,192260480.415,3c499f1c4facc286,65000,true,3
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,random,write,15000,32402250,2160.150,462930.815,fe19475bee4bebd1,57500,true,3
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,random,point_read,65000,46780458,719.699,1389469.081,fe19475bee4bebd1,57500,true,3
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,random,range_scan,57500,1925709,33.491,29859132.403,fe19475bee4bebd1,57500,true,3
rust,b087770d79b5+src.b85a0408b624,50000,mutation,random,write,15000,32803917,2186.928,457262.467,fe19475bee4bebd1,57500,true,3
rust,b087770d79b5+src.b85a0408b624,50000,mutation,random,point_read,65000,14163208,217.896,4589355.745,fe19475bee4bebd1,57500,true,3
rust,b087770d79b5+src.b85a0408b624,50000,mutation,random,range_scan,57500,269125,4.680,213655364.608,fe19475bee4bebd1,57500,true,3
rust,b087770d79b5+src.b85a0408b624,50000,mutation,clustered,write,15000,7882500,525.500,1902949.572,3f4faf6738a21a14,57500,true,3
rust,b087770d79b5+src.b85a0408b624,50000,mutation,clustered,point_read,65000,6674416,102.683,9738679.759,3f4faf6738a21a14,57500,true,3
rust,b087770d79b5+src.b85a0408b624,50000,mutation,clustered,range_scan,57500,304250,5.291,188989317.995,3f4faf6738a21a14,57500,true,3
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,clustered,write,15000,14611667,974.111,1026576.913,3f4faf6738a21a14,57500,true,3
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,clustered,point_read,65000,31465208,484.080,2065773.727,3f4faf6738a21a14,57500,true,3
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,50000,mutation,clustered,range_scan,57500,1282584,22.306,44831371.668,3f4faf6738a21a14,57500,true,3
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,append,write,1000000,344111542,344.112,2906034.463,9022bebe1b37f1a0,1000000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,append,point_read,100000,55385834,553.858,1805515.829,9022bebe1b37f1a0,1000000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,append,range_scan,1000000,5195917,5.196,192458809.484,9022bebe1b37f1a0,1000000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,append,write,1000000,2038737375,2038.737,490499.665,9022bebe1b37f1a0,1000000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,append,point_read,100000,139915209,1399.152,714718.584,9022bebe1b37f1a0,1000000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,append,range_scan,1000000,26834084,26.834,37266038.222,9022bebe1b37f1a0,1000000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,random,write,1000000,590034333,590.034,1694816.630,1ea63edc2fc9d3ae,1000000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,random,point_read,100000,72944042,729.440,1370913.885,1ea63edc2fc9d3ae,1000000,true,1
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,random,range_scan,1000000,5481416,5.481,182434611.786,1ea63edc2fc9d3ae,1000000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,random,write,1000000,2439361667,2439.362,409943.312,1ea63edc2fc9d3ae,1000000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,random,point_read,100000,147583125,1475.831,677584.243,1ea63edc2fc9d3ae,1000000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,random,range_scan,1000000,26919084,26.919,37148366.564,1ea63edc2fc9d3ae,1000000,true,1
