workload,base_entries,mutations,workers,effective_workers,callers,run,elapsed_ns,ops_per_sec,p50_ns,p95_ns,p99_ns,peak_rss_bytes,nodes_read,nodes_written,bytes_read,bytes_written,batch_get_calls,batch_put_calls,parallel_tasks,structural_islands,coalesced_islands,root
clustered,1000000,100000,1,1,1,5,40780625,2452144.860,40569084,41038542,41038542,698122240,1732,1523,3331451,2821684,0,1,0,0,0,32de6fe13db6e0d4fb6548d0f2e0507f6996207e77b60bf49242af95b770668b
clustered,1000000,100000,1,1,1,6,38944750,2567740.196,40569084,41038542,41038542,698122240,1732,1523,3331451,2821684,0,1,0,0,0,32de6fe13db6e0d4fb6548d0f2e0507f6996207e77b60bf49242af95b770668b
clustered,1000000,100000,0,1,1,1,40805416,2450655.080,40394833,40805416,40805416,698122240,1732,1523,3331451,2821684,0,1,0,0,0,32de6fe13db6e0d4fb6548d0f2e0507f6996207e77b60bf49242af95b770668b
clustered,1000000,100000,0,1,1,2,40468167,2471078.070,40394833,40805416,40805416,698122240,1732,1523,3331451,2821684,0,1,0,0,0,32de6fe13db6e0d4fb6548d0f2e0507f6996207e77b60bf49242af95b770668b
clustered,1000000,100000,0,1,1,3,40318625,2480243.312,40394833,40805416,40805416,698122240,1732,1523,3331451,2821684,0,1,0,0,0,32de6fe13db6e0d4fb6548d0f2e0507f6996207e77b60bf49242af95b770668b
clustered,1000000,100000,0,1,1,4,40465209,2471258.705,40394833,40805416,40805416,698122240,1732,1523,3331451,2821684,0,1,0,0,0,32de6fe13db6e0d4fb6548d0f2e0507f6996207e77b60bf49242af95b770668b
clustered,1000000,100000,0,1,1,5,40394833,2475564.140,40394833,40805416,40805416,698122240,1732,1523,3331451,2821684,0,1,0,0,0,32de6fe13db6e0d4fb6548d0f2e0507f6996207e77b60bf49242af95b770668b
clustered,1000000,100000,0,1,1,6,39554875,2528133.384,40394833,40805416,40805416,698122240,1732,1523,3331451,2821684,0,1,0,0,0,32de6fe13db6e0d4fb6548d0f2e0507f6996207e77b60bf49242af95b770668b
value-only,1000000,100000,1,1,1,1,300884458,332353.491,300884458,301480833,301480833,832618496,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,2,301037750,332184.253,300884458,301480833,301480833,867958784,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
