workload,base_entries,mutations,workers,effective_workers,callers,run,elapsed_ns,ops_per_sec,p50_ns,p95_ns,p99_ns,peak_rss_bytes,nodes_read,nodes_written,bytes_read,bytes_written,batch_get_calls,batch_put_calls,parallel_tasks,structural_islands,coalesced_islands,root
append,100000,10000,12,1,2,5,1883250,10619938.935,1500708,1724917,1724917,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,12,1,2,6,1853208,10792096.732,1500708,1724917,1724917,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,12,1,2,7,1882000,10626992.561,1500708,1724917,1724917,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,12,1,2,8,1883167,10620407.006,1500708,1724917,1724917,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,0,1,2,1,1969958,10152500.713,1511709,1757625,1757625,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,0,1,2,2,1862292,10739454.393,1511709,1757625,1757625,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,0,1,2,3,1863708,10731294.817,1511709,1757625,1757625,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,0,1,2,4,2035875,9823785.841,1511709,1757625,1757625,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,0,1,2,5,2017458,9913465.361,1511709,1757625,1757625,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,0,1,2,6,1864000,10729613.734,1511709,1757625,1757625,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,0,1,2,7,1889541,10584581.123,1511709,1757625,1757625,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,0,1,2,8,2126333,9405864.462,1511709,1757625,1757625,62046208,6,298,4558,440331,0,2,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9
append,100000,10000,1,1,4,1,2687125,14885798.018,1744541,1907542,1990209,64831488,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,1,1,4,2,2150542,18599962.242,1744541,1907542,1990209,66027520,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,1,1,4,3,2238417,17869771.361,1744541,1907542,1990209,66043904,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,1,1,4,4,2239708,17859470.967,1744541,1907542,1990209,66076672,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,1,1,4,5,2194250,18229463.370,1744541,1907542,1990209,66076672,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,1,1,4,6,2223542,17989316.145,1744541,1907542,1990209,66076672,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,1,1,4,7,2415833,16557435.882,1744541,1907542,1990209,66289664,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,1,1,4,8,2451333,16317652.477,1744541,1907542,1990209,66289664,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,4,1,4,1,2264541,17663623.666,1736375,1860667,1866334,65372160,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,4,1,4,2,2447917,16340423.307,1736375,1860667,1866334,66027520,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,4,1,4,3,2232792,17914790.092,1736375,1860667,1866334,66043904,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
append,100000,10000,4,1,4,4,2271000,17613386.173,1736375,1860667,1866334,66076672,12,619,9116,883283,0,4,0,0,0,69603fb5ba0eadcc55c1833df192502441e5c3b088c5bf271f7f4a3643f00d5e|12f738d2c427d31794410d9ad579fdbe8476cfbce55ffa33f7d0b4b90e622ff9|262b0fe697304c406b50e454a1e25fe57467990a283cfcf348ad510486fb113e|dd30142f52fe2478b013de6fd38c0839eea9ca5fb35b7f9876f06387820fe8af
