variant,workload,run,elapsed_ns,root
after,mixed-60-20-20,5,324988167,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,6,331680084,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,6,391099458,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,7,326700458,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,7,321616375,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,8,321477958,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,8,331120583,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,9,331006375,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,9,325650042,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,10,325565292,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,10,336241500,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,11,325374584,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,11,326935000,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,12,320664417,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,12,330930417,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,13,324566833,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,13,326033459,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,14,337910792,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,14,335617750,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,15,337976791,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,15,413756625,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,16,325818208,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,16,334652250,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,17,327287708,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,17,329271625,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,18,326367542,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,18,345153625,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,19,344091209,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,19,330012125,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
after,mixed-60-20-20,20,329948125,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
before,mixed-60-20-20,20,331479750,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
