implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,point_read,100000,65805208,658.052,1519636.561,e8f1b4b849a1800c,5750000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,range_scan,5750000,250621875,43.586,22942929.463,e8f1b4b849a1800c,5750000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,write,5000000,34310460333,6862.092,145728.153,d1647945eb322bb6,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,point_read,100000,154320083,1543.201,648003.799,d1647945eb322bb6,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,range_scan,5000000,192626375,38.525,25956985.382,d1647945eb322bb6,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,write,5000000,2719729667,543.946,1838418.009,d1647945eb322bb6,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,point_read,100000,108353458,1083.535,922905.478,d1647945eb322bb6,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,range_scan,5000000,187732208,37.546,26633682.378,d1647945eb322bb6,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,write,5000000,26647177458,5329.435,187637.134,381618c8cd44f2be,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,point_read,100000,176176125,1761.761,567613.801,381618c8cd44f2be,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,range_scan,5000000,190030083,38.006,26311623.513,381618c8cd44f2be,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,random,write,5000000,5289360875,1057.872,945293.792,381618c8cd44f2be,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,random,point_read,100000,107997542,1079.975,925947.000,381618c8cd44f2be,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,random,range_scan,5000000,173522459,34.704,28814713.835,381618c8cd44f2be,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,clustered,write,5000000,3467027250,693.405,1442157.687,8ef05bfe0e072492,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,clustered,point_read,100000,107491334,1074.913,930307.554,8ef05bfe0e072492,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,clustered,range_scan,5000000,187387334,37.477,26682699.910,8ef05bfe0e072492,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,write,5000000,19748402583,3949.681,253185.035,8ef05bfe0e072492,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,point_read,100000,149385875,1493.859,669407.332,8ef05bfe0e072492,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,range_scan,5000000,194768917,38.954,25671447.359,8ef05bfe0e072492,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,append,write,1500000,836773500,557.849,1792599.790,d63ec1ddc44a3175,6500000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,append,point_read,100000,34599500,345.995,2890215.177,d63ec1ddc44a3175,6500000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,append,range_scan,6500000,242498041,37.307,26804340.246,d63ec1ddc44a3175,6500000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,write,1500000,4501127041,3000.751,333249.870,d63ec1ddc44a3175,6500000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,point_read,100000,68826500,688.265,1452928.741,d63ec1ddc44a3175,6500000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,range_scan,6500000,255188542,39.260,25471363.052,d63ec1ddc44a3175,6500000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,random,write,1500000,4018599375,2679.066,373264.379,cf7592b3374c733e,5750000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,random,point_read,100000,127716500,1277.165,782984.188,cf7592b3374c733e,5750000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,random,range_scan,5750000,304541875,52.964,18880818.935,cf7592b3374c733e,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,write,1500000,6538835667,4359.224,229398.639,cf7592b3374c733e,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,point_read,100000,221804917,2218.049,450846.633,cf7592b3374c733e,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,range_scan,5750000,230987875,40.172,24893081.509,cf7592b3374c733e,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,write,1500000,3401867333,2267.912,440934.303,e8f1b4b849a1800c,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,point_read,100000,66740375,667.404,1498343.394,e8f1b4b849a1800c,5750000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,range_scan,5750000,225215500,39.168,25531102.433,e8f1b4b849a1800c,5750000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,clustered,write,1500000,1131203084,754.135,1326021.845,e8f1b4b849a1800c,5750000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,clustered,point_read,100000,31751291,317.513,3149478.237,e8f1b4b849a1800c,5750000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,clustered,range_scan,5750000,213246042,37.086,26964158.144,e8f1b4b849a1800c,5750000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,write,5000000,2684735791,536.947,1862380.655,d1647945eb322bb6,5000000,true,3
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,point_read,100000,104181583,1041.816,959862.551,d1647945eb322bb6,5000000,true,3
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,range_scan,5000000,182124458,36.425,27453753.630,d1647945eb322bb6,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,write,5000000,32449888250,6489.978,154083.736,d1647945eb322bb6,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,point_read,100000,171185917,1711.859,584160.203,d1647945eb322bb6,5000000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,range_scan,5000000,192570084,38.514,25964572.981,d1647945eb322bb6,5000000,true,3
