version,profile,records,run,workload,operations,total_ns,ns_per_op,ops_per_sec,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,db_bytes_before,db_bytes_after,wal_bytes_after,shm_bytes_after,fixture_bytes_after,sqlite_node_count,sqlite_node_payload_bytes,validated,status
original,full,10000000,2,sorted_stream_build,10000000,9857564208,985.756,1014449.390,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,2,clustered_batch_deletes,10000,99437250,9943.725,100565.935,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
original,full,1000000,3,sorted_stream_build,1000000,815859375,815.859,1225701.427,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,3,clustered_batch_deletes,10000,62559084,6255.908,159848.888,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,3,sorted_stream_build,1000000,803737750,803.738,1244186.925,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,3,clustered_batch_deletes,10000,71162291,7116.229,140523.863,49,3,502270,23911,45,49,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,3,sorted_stream_build,1000000,843531708,843.532,1185491.891,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,3,clustered_batch_deletes,10000,67652625,6765.262,147813.924,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,1000000,3,sorted_stream_build,1000000,806676792,806.677,1239653.861,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,3,clustered_batch_deletes,10000,68278833,6827.883,146458.274,49,3,502270,23911,45,49,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,10000000,3,sorted_stream_build,10000000,10226640792,1022.664,977838.198,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,3,clustered_batch_deletes,10000,213567958,21356.796,46823.503,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,3,sorted_stream_build,10000000,9309020625,930.902,1074226.860,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,3,clustered_batch_deletes,10000,124171791,12417.179,80533.589,48,4,521551,52518,43,48,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,3,sorted_stream_build,10000000,9896437875,989.644,1010464.586,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,3,clustered_batch_deletes,10000,115316833,11531.683,86717.609,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,normal,10000000,3,sorted_stream_build,10000000,9855412750,985.541,1014670.847,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,3,clustered_batch_deletes,10000,130183625,13018.362,76814.576,48,4,521551,52518,43,48,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
current,normal,1000000,4,sorted_stream_build,1000000,740387583,740.388,1350643.937,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,4,clustered_batch_deletes,10000,64571834,6457.183,154866.284,49,3,502270,23911,45,49,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,4,sorted_stream_build,1000000,782175584,782.176,1278485.318,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,4,clustered_batch_deletes,10000,62909250,6290.925,158959.136,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,4,sorted_stream_build,1000000,742615000,742.615,1346592.784,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,4,clustered_batch_deletes,10000,68469833,6846.983,146049.721,49,3,502270,23911,45,49,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,1000000,4,sorted_stream_build,1000000,774045875,774.046,1291913.092,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,4,clustered_batch_deletes,10000,68501542,6850.154,145982.115,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,10000000,4,sorted_stream_build,10000000,9710507875,971.051,1029812.254,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,4,clustered_batch_deletes,10000,117304916,11730.492,85247.919,48,4,521551,52518,43,48,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,4,sorted_stream_build,10000000,9493992375,949.399,1053297.665,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,4,clustered_batch_deletes,10000,99123833,9912.383,100883.912,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,4,sorted_stream_build,10000000,9309382834,930.938,1074185.065,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,4,clustered_batch_deletes,10000,127419375,12741.938,78481.000,48,4,521551,52518,43,48,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,full,10000000,4,sorted_stream_build,10000000,9598779791,959.878,1041799.085,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,4,clustered_batch_deletes,10000,104552458,10455.246,95645.767,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
original,full,1000000,5,sorted_stream_build,1000000,779722084,779.722,1282508.243,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,5,clustered_batch_deletes,10000,65571333,6557.133,152505.669,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,5,sorted_stream_build,1000000,756205750,756.206,1322391.426,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,5,clustered_batch_deletes,10000,64733250,6473.325,154480.116,49,3,502270,23911,45,49,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,5,sorted_stream_build,1000000,768872542,768.873,1300605.686,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,5,clustered_batch_deletes,10000,68535625,6853.562,145909.518,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,1000000,5,sorted_stream_build,1000000,811282334,811.282,1232616.511,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,5,clustered_batch_deletes,10000,60753000,6075.300,164600.925,49,3,502270,23911,45,49,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,10000000,5,sorted_stream_build,10000000,10108761334,1010.876,989240.884,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,5,clustered_batch_deletes,10000,103651458,10365.146,96477.176,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,5,sorted_stream_build,10000000,9513748250,951.375,1051110.429,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,5,clustered_batch_deletes,10000,119220667,11922.067,83878.075,48,4,521551,52518,43,48,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,5,sorted_stream_build,10000000,9505189833,950.519,1052056.842,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,5,clustered_batch_deletes,10000,93931500,9393.150,106460.559,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,normal,10000000,5,sorted_stream_build,10000000,9957015958,995.702,1004316.960,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,5,clustered_batch_deletes,10000,127177584,12717.758,78630.209,48,4,521551,52518,43,48,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
