schema,records,api,pattern,repetitions,configured_changes,sqlite_latency_median_ns,sqlite_latency_min_ns,sqlite_latency_max_ns,sqlite_throughput_median_ops_sec,sqlite_throughput_min_ops_sec,sqlite_throughput_max_ops_sec,sqlite_p50_ns_median,sqlite_p95_ns_median,sqlite_p99_ns_median,sqlite_max_ns_median,turso_latency_median_ns,turso_latency_min_ns,turso_latency_max_ns,turso_throughput_median_ops_sec,turso_throughput_min_ops_sec,turso_throughput_max_ops_sec,turso_p50_ns_median,turso_p95_ns_median,turso_p99_ns_median,turso_max_ns_median,turso_over_sqlite_latency_ratio,turso_over_sqlite_throughput_ratio
sqlite-turso-local-v1,10000,put,append,3,100,14598250.0,13279292,20526833,6850.13614645591,4871.672118148961,7530.5219585502,129000.0,185625.0,324625.0,1511000.0,95019958.0,93935500,96186916,1052.4104841216622,1039.6424395184893,1064.5602567719338,913625.0,1135750.0,1238333.0,1768500.0,6.508996489305225,0.15363351349829055
sqlite-turso-local-v1,10000,put,clustered,3,100,10692791.0,10454250,11484459,9352.095257449622,8707.41930464465,9565.487720305138,91125.0,202708.0,322166.0,668584.0,97896208.0,97833459,98706042,1021.4900254359188,1013.1092076410074,1022.1451947232082,932292.0,1234250.0,1708791.0,2052375.0,9.155346625591017,0.10922579350570963
sqlite-turso-local-v1,10000,put,random,3,100,23811833.0,23437417,29611875,4199.592698302562,3377.023575845839,4266.681776409064,187500.0,322583.0,1179625.0,3976125.0,130519375.0,129085667,131519375,766.1697736447175,760.3442458573119,774.6793453064003,1266167.0,1715333.0,2364792.0,2456708.0,5.48128214237014,0.18243906699675816
